
Test-clarkysmoothAF.mat                         

   8       ! Nblades

   0.3865  7.2959    ! CL0    CL_a 
  -0.9972  1.5997    ! CLmin  CLmax

   0.00510  0.03420  0.01250  0.4901    ! CD0    CD2u  CD2l  CLCD0
  1230000.0  -0.500            ! REref  REexp

   1.0000  1.0000  1.0000   !  Rfac   Cfac   Bfac
   0.0000  0.0000  0.0000   !  Radd   Cadd   Badd

#        r            c        beta
   0.30538      0.16734E-01  76.1336
   0.33612      0.20886E-01  74.3341
   0.36687      0.25744E-01  72.5755
   0.39762      0.31383E-01  70.8592
   0.42838      0.37878E-01  69.1862
   0.45913      0.45306E-01  67.5576
   0.48987      0.53735E-01  65.9741
   0.52062      0.63220E-01  64.4364
   0.55137      0.73795E-01  62.9450
   0.58213      0.85452E-01  61.5003
   0.61287      0.98128E-01  60.1026
   0.64363      0.11168      58.7519
   0.67437      0.12587      57.4483
   0.70512      0.14035      56.1916
   0.73588      0.15462      54.9817
   0.76662      0.16810      53.8184
   0.79738      0.18020      52.7006
   0.82812      0.19047      51.6265
   0.85887      0.19865      50.5937
   0.88962      0.20459      49.6000
   0.92037      0.20833      48.6432
   0.95112      0.21002      47.7208
   0.98188      0.20990      46.8305
    1.0126      0.20827      45.9699
    1.0434      0.20545      45.1368
    1.0741      0.20172      44.3287
    1.1049      0.19736      43.5433
    1.1356      0.19257      42.7782
    1.1664      0.18752      42.0313
    1.1971      0.18217      41.3015
    1.2279      0.17641      40.5883
    1.2586      0.17013      39.8911
    1.2894      0.16316      39.2092
    1.3201      0.15530      38.5423
    1.3509      0.14627      37.8896
    1.3816      0.13568      37.2508
    1.4124      0.12290      36.6252
    1.4431      0.10685      36.0124
    1.4739      0.85293E-01  35.4118
    1.5046      0.50836E-01  34.8231
    1.5200      0.28772E-01  34.5331
