
Test-clarky.mat                                 

   2       ! Nblades

   0.4959  5.4321    ! CL0    CL_a 
  -0.0676  1.4819    ! CLmin  CLmax

   0.00730  0.06350  0.00960  0.6879    ! CD0    CD2u  CD2l  CLCD0
  1230000.0  -0.500            ! REref  REexp

   1.0000  1.0000  1.0000   !  Rfac   Cfac   Bfac
   0.0000  0.0000  0.0000   !  Radd   Cadd   Badd

#        r            c        beta
   0.43250E-01  0.34028      31.4417
   0.49750E-01  0.30874      27.8657
   0.56250E-01  0.28345      24.9309
   0.62750E-01  0.26270      22.4858
   0.69250E-01  0.24536      20.4203
   0.75750E-01  0.23063      18.6538
   0.82250E-01  0.21791      17.1266
   0.88750E-01  0.20680      15.7933
   0.95250E-01  0.19697      14.6196
   0.10175      0.18816      13.5785
   0.10825      0.18019      12.6491
   0.11475      0.17289      11.8146
   0.12125      0.16616      11.0614
   0.12775      0.15988      10.3786
   0.13425      0.15398       9.7572
   0.14075      0.14840       9.1896
   0.14725      0.14306       8.6695
   0.15375      0.13795       8.1916
   0.16025      0.13301       7.7510
   0.16675      0.12825       7.3432
   0.17325      0.12366       6.9643
   0.17975      0.11922       6.6108
   0.18625      0.11492       6.2796
   0.19275      0.11076       5.9677
   0.19925      0.10673       5.6729
   0.20575      0.10280       5.3926
   0.21225      0.98974E-01   5.1248
   0.21875      0.95216E-01   4.8675
   0.22525      0.91502E-01   4.6190
   0.23175      0.87795E-01   4.3777
   0.23825      0.84052E-01   4.1419
   0.24475      0.80212E-01   3.9103
   0.25125      0.76193E-01   3.6818
   0.25775      0.71887E-01   3.4556
   0.26425      0.67150E-01   3.2309
   0.27075      0.61792E-01   3.0068
   0.27725      0.55523E-01   2.7824
   0.28375      0.47871E-01   2.5569
   0.29025      0.37864E-01   2.3292
   0.29675      0.22336E-01   2.0983
   0.30000      0.12503E-01   1.9816
