
Test-clarkysmoothAF.mat                         

   4       ! Nblades

   0.3865  7.2959    ! CL0    CL_a 
  -0.9972  1.5997    ! CLmin  CLmax

   0.00510  0.03420  0.01250  0.4901    ! CD0    CD2u  CD2l  CLCD0
  1230000.0  -0.500            ! REref  REexp

   1.0000  1.0000  1.0000   !  Rfac   Cfac   Bfac
   0.0000  0.0000  0.0000   !  Radd   Cadd   Badd

#        r            c        beta
   0.18688      0.34213      46.4891
   0.22063      0.30350      42.0223
   0.25438      0.27456      38.2995
   0.28813      0.25748      34.9045
   0.32188      0.24325      32.0331
   0.35563      0.23129      29.5721
   0.38938      0.22113      27.4382
   0.42312      0.21240      25.5692
   0.45688      0.20484      23.9178
   0.49063      0.19819      22.4481
   0.52438      0.19228      21.1320
   0.55813      0.18696      19.9474
   0.59188      0.18209      18.8768
   0.62563      0.17757      17.9059
   0.65938      0.17330      17.0232
   0.69313      0.16921      16.2192
   0.72688      0.16523      15.4858
   0.76063      0.16131      14.8164
   0.79438      0.15741      14.2048
   0.82813      0.15355      13.6432
   0.86187      0.14977      13.1242
   0.89563      0.14612      12.6409
   0.92937      0.14264      12.1872
   0.96312      0.13936      11.7571
   0.99688      0.13635      11.3454
    1.0306      0.13362      10.9469
    1.0644      0.13123      10.5570
    1.0981      0.12920      10.1715
    1.1319      0.12759       9.7863
    1.1656      0.12642       9.3980
    1.1994      0.12567       9.0051
    1.2331      0.12527       8.6076
    1.2669      0.12515       8.2052
    1.3006      0.12513       7.7981
    1.3344      0.12491       7.3864
    1.3681      0.12396       6.9705
    1.4019      0.12130       6.5508
    1.4356      0.11504       6.1278
    1.4694      0.10109       5.7022
    1.5031      0.66926E-01   5.2748
    1.5200      0.42258E-01   5.0605
