
 Motor file not found:  MotorFile                                       
 Default motor used  :  Speed-400 3321 (6V) direct drive                                                

# QPROP Version 1.22
# 
# Test-clarkysmoothAF.mat                                                         
# 
# Speed-400 3321 (6V) direct drive                                                
#   0.31000     R  (Ohm)                        
#   0.77000     Io (Amp)                        
#    2760.0     Kv (rpm/Volt)                   
# 
#   rho =  1.0239     kg/m^3
#   mu  = 0.17000E-04 kg/m-s
#   a   =  333.20     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#   0.000   1101.    -27.424   7865.       2013.      0.2321E+06******************   0.0000   0.0000   0.00000  0.6894E-01  0.1161E-01  46.0054   0.0000  0.1049E+12   0.000       0.8999  0.2536E-01
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.3297  0.0200  74.708   1.3076  0.88367    45109  0.113   0.0000   0.1705   5.919       9.074      0.3464E-01
   0.3783  0.0277  71.935   1.3673  0.73913    71689  0.129   0.0000   0.2255   7.604       10.21      0.4480E-01
   0.4268  0.0375  69.269   1.4199  0.60591   109037  0.145   0.0000   0.2930   9.518       11.38      0.5652E-01
   0.4754  0.0496  66.712   1.4652  0.48555   159932  0.161   0.0000   0.3728   11.66       12.59      0.6985E-01
   0.5240  0.0643  64.270   1.5032  0.37953   227280  0.176   0.0000   0.4627   14.00       13.81      0.8476E-01
   0.5726  0.0817  61.943   1.5342  0.28897   313775  0.191   0.0000   0.5580   16.53       15.03      0.1012    
   0.6212  0.1017  59.733   1.5583  0.21445   421222  0.206   0.0000   0.6515   19.19       16.21      0.1188    
   0.6698  0.1237  57.641   1.5759  0.15600   549279  0.221   0.0000   0.7354   21.91       17.29      0.1372    
   0.7184  0.1465  55.666   1.5878  0.11282   694215  0.236   0.0000   0.8033   24.60       18.22      0.1556    
   0.7669  0.1682  53.807   1.4746  0.04599   850908  0.252   0.0000   0.9040   26.25       18.21      0.1660    
   0.8155  0.1865  52.062   1.3260  0.03206  1006289  0.269   0.0000   0.9222   27.15       17.64      0.1706    
   0.8641  0.1998  50.422   1.2078  0.02352  1146736  0.286   0.0000   0.9343   27.77       16.94      0.1732    
   0.9127  0.2076  48.879   1.1141  0.01817  1263515  0.303   0.0000   0.9422   28.11       16.15      0.1739    
   0.9613  0.2102  47.424   1.0390  0.01469  1352880  0.321   0.0000   0.9472   28.21       15.31      0.1731    
   1.0099  0.2085  46.045   0.9772  0.01232  1415468  0.338   0.0000   0.9502   28.10       14.44      0.1710    
   1.0584  0.2037  44.738   0.9242  0.01061  1455249  0.356   0.0000   0.9519   27.82       13.57      0.1680    
   1.1070  0.1970  43.490   0.8765  0.00931  1477273  0.374   0.0000   0.9527   27.40       12.72      0.1643    
   1.1556  0.1893  42.291   0.8315  0.00827  1486325  0.391   0.0000   0.9529   26.86       11.89      0.1601    
   1.2042  0.1809  41.136   0.7880  0.00741  1483969  0.409   0.0000   0.9525   26.22       11.10      0.1554    
   1.2528  0.1714  40.022   0.7466  0.00673  1466343  0.426   0.0000   0.9513   25.48       10.33      0.1502    
   1.3014  0.1602  38.948   0.7080  0.00624  1427382  0.444   0.0000   0.9489   24.61       9.577      0.1445    
   1.3500  0.1466  37.909   0.6732  0.00595  1357423  0.461   0.0000   0.9449   23.61       8.831      0.1380    
   1.3985  0.1290  36.905   0.6430  0.00587  1240118  0.479   0.0000   0.9383   22.45       8.085      0.1307    
   1.4471  0.1045  35.933   0.6184  0.00616  1041229  0.497   0.0000   0.9270   21.11       7.329      0.1225    
   1.4957  0.0622  34.992   0.6055  0.00769   641755  0.514   0.0000   0.8987   19.47       6.526      0.1126    
