
 Motor file not found:  MotorFile                                       
 Default motor used  :  Speed-400 3321 (6V) direct drive                                                

# QPROP Version 1.22
# 
# Test-clarky.mat                                                                 
# 
# Speed-400 3321 (6V) direct drive                                                
#   0.31000     R  (Ohm)                        
#   0.77000     Io (Amp)                        
#    2760.0     Kv (rpm/Volt)                   
# 
#   rho =  1.1210     kg/m^3
#   mu  = 0.17000E-04 kg/m-s
#   a   =  336.77     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
  102.888   5535.     25.052   27.49       9.178       5320.     824.604 2653.5430   0.0024   0.5316   0.59164  0.5736E-02  0.6384E-02   0.8396   0.0013  0.2188E+07   2829.       1.4242  0.4008    
  102.888   5535.     24.052   28.19       9.113       5283.     818.751 2634.6631   0.0024   0.5492   0.59164  0.5883E-02  0.6338E-02   0.8610   0.0013  0.2157E+07   2901.       1.4312  0.3823    
  102.888   5535.     23.052   28.86       9.050       5246.     813.108 2616.4600   0.0025   0.5661   0.59164  0.6022E-02  0.6294E-02   0.8813   0.0014  0.2127E+07   2970.       1.4377  0.3648    
  102.888   5535.     22.052   29.50       8.989       5211.     807.684 2598.9609   0.0025   0.5824   0.59164  0.6154E-02  0.6252E-02   0.9005   0.0014  0.2099E+07   3035.       1.4437  0.3480    
  102.888   5535.     21.052   30.09       8.931       5177.     802.485 2582.1907   0.0025   0.5980   0.59164  0.6279E-02  0.6212E-02   0.9187   0.0015  0.2072E+07   3096.       1.4494  0.3321    
  102.888   5535.     20.052   30.65       8.876       5145.     797.519 2566.1733   0.0025   0.6129   0.59164  0.6396E-02  0.6173E-02   0.9357   0.0015  0.2047E+07   3154.       1.4545  0.3172    
  102.888   5535.     19.052   31.17       8.823       5115.     792.794 2550.9307   0.0025   0.6271   0.59164  0.6505E-02  0.6137E-02   0.9515   0.0016  0.2022E+07   3207.       1.4593  0.3031    
  102.888   5535.     18.052   31.66       8.773       5086.     788.316 2536.4856   0.0025   0.6405   0.59164  0.6606E-02  0.6102E-02   0.9663   0.0016  0.2000E+07   3257.       1.4636  0.2899    
  102.888   5535.     17.052   32.11       8.726       5058.     784.091 2522.8567   0.0026   0.6530   0.59164  0.6699E-02  0.6069E-02   0.9798   0.0017  0.1978E+07   3303.       1.4674  0.2776    
  102.888   5535.     16.052   32.51       8.682       5033.     780.126 2510.0649   0.0026   0.6647   0.59164  0.6784E-02  0.6038E-02   0.9922   0.0017  0.1958E+07   3345.       1.4708  0.2663    
  102.888   5535.     15.052   32.88       8.641       5009.     776.425 2498.1260   0.0026   0.6755   0.59164  0.6861E-02  0.6010E-02   1.0035   0.0017  0.1940E+07   3383.       1.4737  0.2560    
  102.888   5535.     14.052   33.21       8.602       4987.     772.993 2487.0564   0.0026   0.6853   0.59164  0.6930E-02  0.5983E-02   1.0135   0.0018  0.1922E+07   3417.       1.4762  0.2466    
  102.888   5535.     13.052   33.66       8.562       4963.     769.351 2475.3091   0.0026   0.6979   0.59164  0.7024E-02  0.5955E-02   1.0272   0.0018  0.1904E+07   3464.       1.4783  0.2339    
  102.888   5535.     12.052   33.84       8.193       4749.     736.323 2368.7673   0.0027   0.7332   0.59164  0.7061E-02  0.5698E-02   1.0326   0.0020  0.1744E+07   3482.       1.4321  0.1930    
  102.888   5535.     11.052   32.48       7.496       4345.     673.911 2167.4373   0.0030   0.7691   0.59164  0.6778E-02  0.5214E-02   0.9913   0.0023  0.1461E+07   3342.       1.3381  0.1516    
  102.888   5535.     10.052   30.64       6.782       3931.     609.873 1960.8641   0.0033   0.8019   0.59164  0.6393E-02  0.4717E-02   0.9352   0.0026  0.1196E+07   3152.       1.2351  0.1169    
  102.888   5535.      9.052   28.62       6.101       3537.     548.913 1764.2181   0.0037   0.8327   0.59164  0.5972E-02  0.4244E-02   0.8740   0.0030  0.9684E+06   2945.       1.1321  0.8811E-01
  102.888   5535.      8.052   26.44       5.455       3162.     491.035 1577.5155   0.0041   0.8602   0.59164  0.5517E-02  0.3794E-02   0.8076   0.0035  0.7746E+06   2720.       1.0291  0.6529E-01
  102.888   5535.      7.052   24.09       4.844       2808.     436.246 1400.7766   0.0046   0.8826   0.59164  0.5026E-02  0.3369E-02   0.7360   0.0041  0.6111E+06   2478.       0.9262  0.4843E-01
  102.888   5535.      6.052   21.57       4.267       2473.     384.550 1234.0154   0.0052   0.8971   0.59164  0.4500E-02  0.2968E-02   0.6592   0.0047  0.4745E+06   2219.       0.8232  0.3752E-01
  102.888   5535.      5.052   18.88       3.724       2159.     335.953 1077.2480   0.0060   0.8995   0.59164  0.3939E-02  0.2590E-02   0.5772   0.0054  0.3619E+06   1942.       0.7202  0.3257E-01
  102.888   5535.      4.052   16.06       3.212       1862.     289.991  928.9835   0.0069   0.8874   0.59164  0.3350E-02  0.2234E-02   0.4912   0.0061  0.2694E+06   1652.       0.6172  0.3233E-01
  102.888   5535.      3.052   13.20       2.708       1570.     244.847  783.3585   0.0082   0.8653   0.59164  0.2754E-02  0.1883E-02   0.4040   0.0071  0.1918E+06   1358.       0.5143  0.3339E-01
  102.888   5535.      2.052   10.32       2.210       1281.     200.231  639.4382   0.0100   0.8286   0.59164  0.2152E-02  0.1537E-02   0.3158   0.0083  0.1280E+06   1061.       0.4113  0.3534E-01
  102.888   5535.      1.052   7.403       1.718       995.7     156.147  497.2301   0.0128   0.7649   0.59164  0.1545E-02  0.1195E-02   0.2267   0.0098  0.7764E+05   761.6       0.3084  0.3819E-01
  102.888   5535.      0.052   4.462       1.232       713.9     112.594  356.7354   0.0178   0.6430   0.59164  0.9309E-03  0.8566E-03   0.1367   0.0114  0.4017E+05   459.0       0.2054  0.4194E-01
  102.888   5535.     -0.948   1.493      0.7514       435.6      69.572  217.9564   0.0287   0.3526   0.59164  0.3114E-03  0.5226E-03   0.0458   0.0101  0.1516E+05   153.6       0.1025  0.4660E-01
  102.888   5535.     -1.948  -1.504      0.2772       160.7      27.083   80.8959   0.0733  -0.9632   0.59164 -0.3139E-03  0.1928E-03  -0.0461  -0.0706   2191.      -154.8      -0.0005  0.5215E-01
  102.888   5535.     -2.948  -4.519      0.2110       122.3      21.150   61.7570   0.0936  -3.8013   0.59164 -0.9429E-03  0.1468E-03  -0.1387  -0.3560   1306.      -465.0      -0.0663  0.9715E-01
  102.888   5535.     -3.948  -4.803      0.2697       156.3      26.405   78.7074   0.0752  -3.1613   0.59164 -0.1002E-02  0.1875E-03  -0.1474  -0.2378   2078.      -494.1      -0.0660  0.1076    
  102.888   5535.     -4.948  -5.118      0.3347       194.0      32.234   97.5107   0.0617  -2.7139   0.59164 -0.1068E-02  0.2328E-03  -0.1571  -0.1675   3143.      -526.6      -0.0657  0.1192    
  102.888   5535.     -5.948  -5.464      0.4061       235.4      38.630  118.1441   0.0516  -2.3882   0.59164 -0.1140E-02  0.2824E-03  -0.1677  -0.1232   4564.      -562.2      -0.0655  0.1320    
  102.888   5535.     -6.948  -5.841      0.4837       280.4      45.586  140.5830   0.0438  -2.1433   0.59164 -0.1219E-02  0.3364E-03  -0.1793  -0.0938   6409.      -601.0      -0.0652  0.1459    
  102.888   5535.     -7.948  -6.248      0.5675       329.0      53.094  164.8004   0.0376  -1.9542   0.59164 -0.1304E-02  0.3947E-03  -0.1918  -0.0735   8750.      -642.9      -0.0648  0.1609    
  102.888   5535.     -8.948  -6.685      0.6574       381.1      61.143  190.7673   0.0327  -1.8051   0.59164 -0.1395E-02  0.4572E-03  -0.2052  -0.0590  0.1166E+05  -687.9      -0.0645  0.1769    
  102.888   5535.     -9.948  -7.152      0.7532       436.6      69.726  218.4521   0.0287  -1.6854   0.59164 -0.1492E-02  0.5238E-03  -0.2195  -0.0483  0.1523E+05  -735.8      -0.0641  0.1941    
  102.888   5535.    -10.948  -7.647      0.8548       495.5      78.830  247.8220   0.0254  -1.5878   0.59164 -0.1595E-02  0.5945E-03  -0.2347  -0.0403  0.1954E+05  -786.7      -0.0637  0.2123    
  102.888   5535.    -11.948  -8.169      0.9621       557.7      88.446  278.8414   0.0226  -1.5071   0.59164 -0.1705E-02  0.6691E-03  -0.2508  -0.0341  0.2466E+05  -840.5      -0.0633  0.2315    
  102.888   5535.    -12.948  -8.720       1.075       623.1      98.562  311.4732   0.0203  -1.4397   0.59164 -0.1819E-02  0.7477E-03  -0.2677  -0.0292  0.3070E+05  -897.2      -0.0629  0.2517    
  102.888   5535.    -13.948  -9.297       1.193       691.8     109.166  345.6779   0.0183  -1.3827   0.59164 -0.1940E-02  0.8300E-03  -0.2855  -0.0253  0.3774E+05  -956.5      -0.0625  0.2730    
  102.888   5535.    -14.948  -9.900       1.317       763.4     120.244  381.4146   0.0166  -1.3342   0.59164 -0.2066E-02  0.9160E-03  -0.3040  -0.0222  0.4586E+05  -1019.      -0.0620  0.2951    
  102.888   5535.    -15.948  -10.53       1.446       838.1     131.784  418.6400   0.0152  -1.2924   0.59164 -0.2197E-02  0.1006E-02  -0.3233  -0.0196  0.5517E+05  -1083.      -0.0615  0.3182    
  102.888   5535.    -16.948  -11.18       1.580       915.6     143.772  457.3095   0.0139  -1.2563   0.59164 -0.2333E-02  0.1099E-02  -0.3434  -0.0175  0.6575E+05  -1150.      -0.0610  0.3422    
  102.888   5535.    -17.948  -11.86       1.718       996.0     156.192  497.3767   0.0128  -1.2248   0.59164 -0.2474E-02  0.1195E-02  -0.3642  -0.0157  0.7769E+05  -1220.      -0.0605  0.3671    
  102.888   5535.    -18.948  -12.56       1.862       1079.     169.031  538.7931   0.0118  -1.1972   0.59164 -0.2620E-02  0.1295E-02  -0.3857  -0.0142  0.9107E+05  -1292.      -0.0600  0.3927    
  102.888   5535.    -19.948  -13.28       2.009       1165.     182.273  581.5091   0.0110  -1.1728   0.59164 -0.2770E-02  0.1397E-02  -0.4079  -0.0129  0.1060E+06  -1366.      -0.0594  0.4192    
  102.888   5535.    -20.948  -14.02       2.161       1253.     195.902  625.4731   0.0102  -1.1512   0.59164 -0.2925E-02  0.1503E-02  -0.4308  -0.0118  0.1225E+06  -1442.      -0.0589  0.4465    
  102.888   5535.    -21.948  -14.78       2.318       1343.     209.902  670.6325   0.0095  -1.1320   0.59164 -0.3084E-02  0.1612E-02  -0.4543  -0.0108  0.1408E+06  -1521.      -0.0583  0.4745    
  102.888   5535.    -22.948  -15.56       2.478       1436.     224.255  716.9326   0.0089  -1.1148   0.59164 -0.3247E-02  0.1723E-02  -0.4783  -0.0100  0.1608E+06  -1601.      -0.0577  0.5033    
  102.888   5535.    -23.948  -16.36       2.642       1531.     238.944  764.3178   0.0084  -1.0993   0.59164 -0.3414E-02  0.1837E-02  -0.5030  -0.0092  0.1826E+06  -1683.      -0.0570  0.5327    
  102.888   5535.    -24.948  -17.18       2.809       1628.     253.952  812.7314   0.0079  -1.0854   0.59164 -0.3584E-02  0.1954E-02  -0.5281  -0.0086  0.2064E+06  -1767.      -0.0564  0.5627    
  102.888   5535.    -25.948  -18.01       2.980       1728.     269.261  862.1146   0.0074  -1.0727   0.59164 -0.3758E-02  0.2073E-02  -0.5538  -0.0080  0.2321E+06  -1853.      -0.0557  0.5933    
  102.888   5535.    -26.948  -18.86       3.154       1828.     284.852  912.4081   0.0070  -1.0613   0.59164 -0.3935E-02  0.2194E-02  -0.5800  -0.0075  0.2599E+06  -1940.      -0.0551  0.6245    
  102.888   5535.    -27.948  -19.72       3.331       1931.     300.707  963.5519   0.0067  -1.0509   0.59164 -0.4115E-02  0.2317E-02  -0.6066  -0.0070  0.2897E+06  -2029.      -0.0544  0.6562    
  102.888   5535.    -28.948  -20.60       3.511       2035.     316.806 1015.4841   0.0063  -1.0413   0.59164 -0.4298E-02  0.2442E-02  -0.6336  -0.0066  0.3217E+06  -2119.      -0.0537  0.6884    
