
 Motor file not found:  MotorFile                                       
 Default motor used  :  Speed-400 3321 (6V) direct drive                                                

# QPROP Version 1.22
# 
# Test-clarky.mat                                                                 
# 
# Speed-400 3321 (6V) direct drive                                                
#   0.31000     R  (Ohm)                        
#   0.77000     Io (Amp)                        
#    2760.0     Kv (rpm/Volt)                   
# 
#   rho =  1.1210     kg/m^3
#   mu  = 0.17000E-04 kg/m-s
#   a   =  336.77     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
  115.749   5272.     25.052   28.26       10.01       5528.     899.245 2894.6279   0.0021   0.5917   0.69888  0.6500E-02  0.7678E-02   0.7676   0.0013  0.2603E+07   3271.       1.4512  0.3227    
  115.749   5272.     24.052   28.87       9.964       5501.     894.916 2880.6638   0.0021   0.6076   0.69888  0.6642E-02  0.7641E-02   0.7844   0.0013  0.2578E+07   3342.       1.4563  0.3080    
  115.749   5272.     23.052   29.45       9.918       5475.     890.791 2867.3572   0.0021   0.6226   0.69888  0.6775E-02  0.7605E-02   0.8000   0.0013  0.2554E+07   3409.       1.4608  0.2942    
  115.749   5272.     22.052   29.98       9.874       5451.     886.876 2854.7283   0.0022   0.6366   0.69888  0.6897E-02  0.7572E-02   0.8144   0.0014  0.2532E+07   3471.       1.4649  0.2813    
  115.749   5272.     21.052   30.47       9.833       5429.     883.177 2842.7957   0.0022   0.6498   0.69888  0.7010E-02  0.7540E-02   0.8277   0.0014  0.2511E+07   3527.       1.4686  0.2694    
  115.749   5272.     20.052   30.92       9.794       5407.     879.699 2831.5767   0.0022   0.6619   0.69888  0.7113E-02  0.7510E-02   0.8398   0.0014  0.2491E+07   3579.       1.4718  0.2585    
  115.749   5272.     19.052   31.33       9.758       5387.     876.448 2821.0884   0.0022   0.6731   0.69888  0.7206E-02  0.7482E-02   0.8508   0.0015  0.2473E+07   3626.       1.4746  0.2485    
  115.749   5272.     18.052   31.69       9.724       5368.     873.427 2811.3450   0.0022   0.6832   0.69888  0.7289E-02  0.7457E-02   0.8605   0.0015  0.2456E+07   3668.       1.4769  0.2394    
  115.749   5272.     17.052   32.32       9.604       5302.     862.655 2776.5969   0.0022   0.7056   0.69888  0.7436E-02  0.7364E-02   0.8777   0.0016  0.2395E+07   3741.       1.4732  0.2179    
  115.749   5272.     16.052   31.82       9.018       4979.     810.141 2607.1951   0.0024   0.7398   0.69888  0.7320E-02  0.6915E-02   0.8642   0.0017  0.2112E+07   3683.       1.4059  0.1792    
  115.749   5272.     15.052   30.43       8.217       4536.     738.349 2375.6104   0.0026   0.7764   0.69888  0.7000E-02  0.6301E-02   0.8265   0.0020  0.1754E+07   3522.       1.3070  0.1396    
  115.749   5272.     14.052   28.72       7.434       4104.     668.266 2149.5349   0.0029   0.8098   0.69888  0.6606E-02  0.5701E-02   0.7801   0.0023  0.1436E+07   3324.       1.2031  0.1069    
  115.749   5272.     13.052   26.80       6.686       3691.     601.195 1933.1780   0.0032   0.8406   0.69888  0.6166E-02  0.5127E-02   0.7283   0.0027  0.1162E+07   3103.       1.0992  0.8008E-01
  115.749   5272.     12.052   24.70       5.971       3296.     537.145 1726.5637   0.0036   0.8672   0.69888  0.5681E-02  0.4579E-02   0.6712   0.0031  0.9274E+06   2859.       0.9953  0.5922E-01
  115.749   5272.     11.052   22.39       5.290       2920.     476.120 1529.7078   0.0040   0.8874   0.69888  0.5150E-02  0.4056E-02   0.6087   0.0036  0.7283E+06   2592.       0.8915  0.4429E-01
  115.749   5272.     10.052   19.89       4.643       2563.     418.125 1342.6276   0.0046   0.8980   0.69888  0.4574E-02  0.3560E-02   0.5408   0.0041  0.5614E+06   2302.       0.7876  0.3530E-01
  115.749   5272.      9.052   17.19       4.028       2224.     363.093 1165.1072   0.0053   0.8946   0.69888  0.3954E-02  0.3089E-02   0.4676   0.0047  0.4230E+06   1990.       0.6838  0.3210E-01
  115.749   5272.      8.052   14.38       3.432       1895.     309.677  992.7952   0.0062   0.8786   0.69888  0.3309E-02  0.2632E-02   0.3914   0.0054  0.3074E+06   1665.       0.5799  0.3208E-01
  115.749   5272.      7.052   11.53       2.842       1569.     256.826  822.3088   0.0074   0.8505   0.69888  0.2652E-02  0.2180E-02   0.3139   0.0063  0.2112E+06   1335.       0.4760  0.3336E-01
  115.749   5272.      6.052   8.640       2.258       1247.     204.495  653.4999   0.0093   0.8021   0.69888  0.1988E-02  0.1732E-02   0.2353   0.0075  0.1336E+06   1000.       0.3722  0.3559E-01
  115.749   5272.      5.052   5.718       1.680       927.5     152.682  486.3609   0.0125   0.7135   0.69888  0.1315E-02  0.1288E-02   0.1557   0.0089  0.7426E+05   661.8       0.2684  0.3872E-01
  115.749   5272.      4.052   2.762       1.108       611.5     101.387  320.8932   0.0188   0.5229   0.69888  0.6355E-03  0.8493E-03   0.0753   0.0098  0.3253E+05   319.8       0.1645  0.4274E-01
  115.749   5272.      3.052 -0.2257      0.5409       298.6      50.612  157.1016   0.0376  -0.0875   0.69888 -0.5191E-04  0.4148E-03  -0.0061  -0.0033   7951.      -26.12       0.0607  0.4766E-01
  115.749   5272.      2.052  -3.702      0.1584       87.45      16.342   46.5541   0.1150  -4.9000   0.69888 -0.8516E-03  0.1215E-03  -0.1010  -0.5633   760.8      -428.5      -0.0379  0.7422E-01
  115.749   5272.      1.052  -4.794      0.1898       104.8      19.157   55.6364   0.0983  -5.2944   0.69888 -0.1103E-02  0.1456E-03  -0.1307  -0.5206   1066.      -554.9      -0.0585  0.9614E-01
  115.749   5272.      0.052  -5.340      0.2373       131.0      23.413   69.3627   0.0807  -4.7175   0.69888 -0.1228E-02  0.1820E-03  -0.1456  -0.3806   1624.      -618.1      -0.0649  0.1099    
  115.749   5272.     -0.948  -5.791      0.3035       167.6      29.343   88.4921   0.0645  -4.0007   0.69888 -0.1332E-02  0.2327E-03  -0.1580  -0.2582   2597.      -670.4      -0.0656  0.1233    
  115.749   5272.     -1.948  -6.214      0.3772       208.2      35.947  109.7955   0.0528  -3.4538   0.69888 -0.1429E-02  0.2893E-03  -0.1695  -0.1822   3947.      -719.2      -0.0653  0.1365    
