
 Motor file not found:  MotorFile                                       
 Default motor used  :  Speed-400 3321 (6V) direct drive                                                

# QPROP Version 1.22
# 
# Test-clarkysmoothAF.mat                                                         
# 
# Speed-400 3321 (6V) direct drive                                                
#   0.31000     R  (Ohm)                        
#   0.77000     Io (Amp)                        
#    2760.0     Kv (rpm/Volt)                   
# 
#   rho =  1.0239     kg/m^3
#   mu  = 0.17000E-04 kg/m-s
#   a   =  333.20     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#  79.738   972.1     -2.376   6051.       5547.      0.5646E+06******************   0.0000   0.8546   0.51534  0.6802E-01  0.4102E-01   9.6303   0.0000  0.7967E+12  0.4825E+06   0.7010  0.6932E-02
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.3297  0.0200  74.708   0.9426  0.04163   103974  0.260   0.9495   0.8741   80.32       1.043      0.5428    
   0.3783  0.0277  71.935   0.9340  0.03414   147887  0.266   0.9427   0.9047   80.57       1.299      0.5466    
   0.4268  0.0375  69.269   0.9176  0.02779   205191  0.272   0.9353   0.9263   80.88       1.581      0.5510    
   0.4754  0.0496  66.712   0.8939  0.02242   278754  0.280   0.9272   0.9421   81.24       1.888      0.5558    
   0.5240  0.0643  64.270   0.8641  0.01799   371439  0.288   0.9186   0.9539   81.68       2.211      0.5610    
   0.5726  0.0817  61.943   0.8301  0.01441   485687  0.296   0.9097   0.9628   82.16       2.542      0.5665    
   0.6212  0.1017  59.733   0.7938  0.01160   622641  0.305   0.9009   0.9694   82.70       2.870      0.5720    
   0.6698  0.1237  57.641   0.7578  0.00948   780517  0.314   0.8925   0.9743   83.27       3.182      0.5774    
   0.7184  0.1465  55.666   0.7248  0.00793   953179  0.324   0.8849   0.9778   83.86       3.463      0.5824    
   0.7669  0.1682  53.807   0.6978  0.00686  1128355  0.334   0.8785   0.9803   84.43       3.696      0.5866    
   0.8155  0.1865  52.062   0.6788  0.00617  1290017  0.345   0.8735   0.9819   84.97       3.870      0.5900    
   0.8641  0.1998  50.422   0.6681  0.00574  1425377  0.355   0.8700   0.9829   85.45       3.984      0.5923    
   0.9127  0.2076  48.879   0.6648  0.00551  1526995  0.367   0.8679   0.9835   85.88       4.043      0.5938    
   0.9613  0.2102  47.424   0.6674  0.00543  1593795  0.378   0.8668   0.9839   86.24       4.054      0.5945    
   1.0099  0.2085  46.045   0.6740  0.00544  1629445  0.389   0.8666   0.9839   86.55       4.030      0.5946    
   1.0584  0.2037  44.738   0.6828  0.00552  1640655  0.401   0.8670   0.9838   86.82       3.982      0.5944    
   1.1070  0.1970  43.490   0.6917  0.00563  1634438  0.413   0.8675   0.9835   87.05       3.920      0.5940    
   1.1556  0.1893  42.291   0.6989  0.00575  1616771  0.426   0.8681   0.9832   87.26       3.853      0.5936    
   1.2042  0.1809  41.136   0.7032  0.00585  1589632  0.438   0.8686   0.9828   87.47       3.787      0.5933    
   1.2528  0.1714  40.022   0.7049  0.00595  1549059  0.450   0.8689   0.9824   87.66       3.723      0.5931    
   1.3014  0.1602  38.948   0.7040  0.00606  1488954  0.463   0.8691   0.9818   87.86       3.662      0.5930    
   1.3500  0.1466  37.909   0.7007  0.00620  1399739  0.476   0.8691   0.9811   88.05       3.605      0.5930    
   1.3985  0.1290  36.905   0.6947  0.00644  1265354  0.489   0.8690   0.9799   88.23       3.551      0.5931    
   1.4471  0.1045  35.933   0.6864  0.00694  1052186  0.502   0.8686   0.9778   88.43       3.504      0.5933    
   1.4957  0.0622  34.992   0.6808  0.00878   642750  0.515   0.8693   0.9714   88.54       3.426      0.5928    
