
 Motor file not found:  MotorFile                                       
 Default motor used  :  Speed-400 3321 (6V) direct drive                                                

# QPROP Version 1.22
# 
# Test-clarky.mat                                                                 
# 
# Speed-400 3321 (6V) direct drive                                                
#   0.31000     R  (Ohm)                        
#   0.77000     Io (Amp)                        
#    2760.0     Kv (rpm/Volt)                   
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17000E-04 kg/m-s
#   a   =  340.29     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#  61.733   6195.    -13.560   11.47       1.390       902.0     127.063  402.6393   0.0176   0.7850   0.31720  0.1749E-02  0.7066E-03   0.5341   0.0138  0.5116E+05   708.1       0.3992  0.3678E-01
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0484  0.0043  71.561   0.0172  0.08845    21220  0.204   0.9998  -2.5197   61.74      0.5068E-02  0.3173    
   0.0587  0.0050  68.526   0.1734  0.06731    26292  0.213   0.9977   0.2978   61.77      0.5828E-01  0.3179    
   0.0689  0.0057  65.592   0.2984  0.05467    31549  0.224   0.9959   0.6589   61.82      0.1111      0.3185    
   0.0792  0.0064  62.769   0.3950  0.04687    36956  0.236   0.9944   0.7800   61.88      0.1595      0.3190    
   0.0895  0.0069  60.063   0.4666  0.04184    42413  0.249   0.9930   0.8341   61.94      0.2009      0.3194    
   0.0997  0.0074  57.479   0.5169  0.03845    47822  0.263   0.9918   0.8618   62.00      0.2342      0.3198    
   0.1100  0.0078  55.017   0.5494  0.03603    53086  0.277   0.9909   0.8769   62.05      0.2592      0.3201    
   0.1203  0.0081  52.679   0.5674  0.03423    58115  0.292   0.9902   0.8850   62.11      0.2761      0.3203    
   0.1305  0.0083  50.460   0.5736  0.03286    62809  0.308   0.9896   0.8887   62.15      0.2857      0.3205    
   0.1408  0.0084  48.360   0.5704  0.03182    67096  0.324   0.9892   0.8893   62.19      0.2889      0.3207    
   0.1511  0.0085  46.373   0.5598  0.03106    70902  0.340   0.9890   0.8874   62.22      0.2867      0.3207    
   0.1614  0.0085  44.494   0.5435  0.03055    74157  0.357   0.9889   0.8832   62.24      0.2800      0.3207    
   0.1716  0.0084  42.719   0.5227  0.03026    76820  0.374   0.9890   0.8770   62.26      0.2697      0.3207    
   0.1819  0.0082  41.041   0.4985  0.03019    78840  0.391   0.9892   0.8685   62.26      0.2567      0.3207    
   0.1922  0.0080  39.457   0.4718  0.03036    80140  0.409   0.9895   0.8575   62.26      0.2416      0.3206    
   0.2024  0.0077  37.959   0.4431  0.03074    80719  0.426   0.9899   0.8438   62.25      0.2251      0.3204    
   0.2127  0.0074  36.543   0.4131  0.03137    80480  0.444   0.9904   0.8267   62.23      0.2075      0.3203    
   0.2230  0.0070  35.203   0.3820  0.03227    79379  0.462   0.9909   0.8056   62.21      0.1895      0.3201    
   0.2332  0.0066  33.935   0.3502  0.03348    77311  0.480   0.9915   0.7795   62.18      0.1712      0.3199    
   0.2435  0.0061  32.734   0.3179  0.03508    74183  0.498   0.9922   0.7472   62.15      0.1529      0.3197    
   0.2538  0.0055  31.595   0.2853  0.03718    69795  0.517   0.9929   0.7069   62.12      0.1349      0.3195    
   0.2641  0.0049  30.514   0.2524  0.04003    63857  0.535   0.9936   0.6558   62.08      0.1171      0.3192    
   0.2743  0.0041  29.487   0.2194  0.04414    55872  0.554   0.9944   0.5897   62.04      0.9981E-01  0.3190    
   0.2846  0.0032  28.511   0.1862  0.05095    44728  0.572   0.9952   0.5004   62.00      0.8304E-01  0.3187    
   0.2949  0.0018  27.582   0.1529  0.06886    26190  0.591   0.9961   0.3574   61.95      0.6568E-01  0.3184    
