
 Motor file not found:  MotorFile                                       
 Default motor used  :  Speed-400 3321 (6V) direct drive                                                

# QPROP Version 1.22
# 
# Test-clarky.mat                                                                 
# 
# Speed-400 3321 (6V) direct drive                                                
#   0.31000     R  (Ohm)                        
#   0.77000     Io (Amp)                        
#    2760.0     Kv (rpm/Volt)                   
# 
#   rho =  1.1210     kg/m^3
#   mu  = 0.17000E-04 kg/m-s
#   a   =  336.77     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
# 102.888   5535.      0.009   4.334       1.211       701.9     110.731  350.7259   0.0181   0.6354   0.59164  0.9044E-03  0.8421E-03   0.1328   0.0115  0.3884E+05   446.0       0.2010  0.4212E-01
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0484  0.0043  71.561   0.2009  0.06142    29901  0.317   0.9973  -0.1151   102.9      0.3883E-01  0.5932    
   0.0587  0.0050  68.526   0.2009  0.05602    35951  0.322   0.9973   0.1410   102.9      0.4560E-01  0.5932    
   0.0689  0.0057  65.592   0.2009  0.05195    41804  0.328   0.9973   0.3021   102.9      0.5166E-01  0.5932    
   0.0792  0.0064  62.769   0.2009  0.04876    47440  0.335   0.9973   0.4103   102.9      0.5697E-01  0.5932    
   0.0895  0.0069  60.063   0.2009  0.04623    52777  0.342   0.9973   0.4860   102.9      0.6154E-01  0.5932    
   0.0997  0.0074  57.479   0.2009  0.04420    57754  0.350   0.9973   0.5408   103.0      0.6540E-01  0.5932    
   0.1100  0.0078  55.017   0.2009  0.04255    62318  0.359   0.9973   0.5813   103.0      0.6857E-01  0.5932    
   0.1203  0.0081  52.679   0.2009  0.04121    66433  0.369   0.9973   0.6117   103.0      0.7113E-01  0.5932    
   0.1305  0.0083  50.460   0.2009  0.04013    70047  0.379   0.9973   0.6347   103.0      0.7311E-01  0.5932    
   0.1408  0.0084  48.360   0.2009  0.03927    73140  0.390   0.9973   0.6521   103.0      0.7459E-01  0.5932    
   0.1511  0.0085  46.373   0.2009  0.03861    75683  0.401   0.9973   0.6652   103.0      0.7563E-01  0.5932    
   0.1614  0.0085  44.494   0.2009  0.03811    77647  0.413   0.9973   0.6748   103.0      0.7626E-01  0.5932    
   0.1716  0.0084  42.719   0.2009  0.03778    79030  0.425   0.9973   0.6815   103.0      0.7658E-01  0.5932    
   0.1819  0.0082  41.041   0.2010  0.03759    79811  0.437   0.9973   0.6858   103.0      0.7662E-01  0.5932    
   0.1922  0.0080  39.457   0.2010  0.03756    79941  0.450   0.9973   0.6880   103.0      0.7639E-01  0.5932    
   0.2024  0.0077  37.959   0.2010  0.03768    79441  0.463   0.9973   0.6884   103.0      0.7599E-01  0.5932    
   0.2127  0.0074  36.543   0.2010  0.03797    78237  0.477   0.9973   0.6868   103.1      0.7542E-01  0.5932    
   0.2230  0.0070  35.203   0.2010  0.03845    76303  0.491   0.9973   0.6835   103.1      0.7471E-01  0.5932    
   0.2332  0.0066  33.935   0.2010  0.03916    73552  0.505   0.9973   0.6782   103.1      0.7389E-01  0.5932    
   0.2435  0.0061  32.734   0.2010  0.04017    69913  0.519   0.9973   0.6706   103.1      0.7299E-01  0.5932    
   0.2538  0.0055  31.595   0.2010  0.04159    65209  0.533   0.9973   0.6602   103.1      0.7203E-01  0.5932    
   0.2641  0.0049  30.514   0.2010  0.04365    59188  0.548   0.9973   0.6456   103.1      0.7101E-01  0.5932    
   0.2743  0.0041  29.487   0.2010  0.04684    51410  0.562   0.9973   0.6246   103.1      0.6998E-01  0.5932    
   0.2846  0.0032  28.511   0.2010  0.05253    40878  0.577   0.9973   0.5901   103.1      0.6893E-01  0.5932    
   0.2949  0.0018  27.582   0.2012  0.06885    23787  0.592   0.9974   0.5063   103.1      0.6676E-01  0.5932    
