
 Motor file not found:  MotorFile                                       
 Default motor used  :  Speed-400 3321 (6V) direct drive                                                

# QPROP Version 1.22
# 
# Test-clarky.mat                                                                 
# 
# Speed-400 3321 (6V) direct drive                                                
#   0.31000     R  (Ohm)                        
#   0.77000     Io (Amp)                        
#    2760.0     Kv (rpm/Volt)                   
# 
#   rho =  1.1210     kg/m^3
#   mu  = 0.17000E-04 kg/m-s
#   a   =  336.77     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
# 115.749   5272.      4.584   4.338       1.411       779.2     128.604  408.6909   0.0148   0.6445   0.69888  0.9980E-03  0.1082E-02   0.1182   0.0096  0.5256E+05   502.2       0.2197  0.4049E-01
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0484  0.0043  71.561   0.4351  0.04809    33307  0.353   0.9940   0.5054   115.8      0.7544E-01  0.7031    
   0.0587  0.0050  68.526   0.3946  0.04513    39877  0.357   0.9946   0.5708   115.8      0.8083E-01  0.7027    
   0.0689  0.0057  65.592   0.3580  0.04308    46148  0.362   0.9951   0.6082   115.8      0.8352E-01  0.7023    
   0.0792  0.0064  62.769   0.3253  0.04160    52100  0.367   0.9956   0.6297   115.8      0.8418E-01  0.7020    
   0.0895  0.0069  60.063   0.2966  0.04051    57645  0.374   0.9960   0.6415   115.8      0.8334E-01  0.7017    
   0.0997  0.0074  57.479   0.2718  0.03969    62725  0.381   0.9963   0.6472   115.8      0.8154E-01  0.7015    
   0.1100  0.0078  55.017   0.2507  0.03905    67295  0.388   0.9966   0.6492   115.8      0.7915E-01  0.7012    
   0.1203  0.0081  52.679   0.2331  0.03856    71327  0.396   0.9969   0.6493   115.8      0.7656E-01  0.7011    
   0.1305  0.0083  50.460   0.2186  0.03818    74781  0.405   0.9971   0.6484   115.8      0.7402E-01  0.7009    
   0.1408  0.0084  48.360   0.2071  0.03789    77649  0.414   0.9973   0.6476   115.8      0.7169E-01  0.7008    
   0.1511  0.0085  46.373   0.1982  0.03767    79915  0.424   0.9974   0.6472   115.9      0.6968E-01  0.7007    
   0.1614  0.0085  44.494   0.1917  0.03753    81561  0.434   0.9975   0.6476   115.9      0.6806E-01  0.7006    
   0.1716  0.0084  42.719   0.1872  0.03746    82598  0.444   0.9976   0.6489   115.9      0.6681E-01  0.7005    
   0.1819  0.0082  41.041   0.1845  0.03746    83016  0.455   0.9977   0.6510   115.9      0.6596E-01  0.7005    
   0.1922  0.0080  39.457   0.1835  0.03756    82773  0.466   0.9977   0.6537   115.9      0.6544E-01  0.7005    
   0.2024  0.0077  37.959   0.1838  0.03774    81901  0.478   0.9977   0.6569   115.9      0.6525E-01  0.7005    
   0.2127  0.0074  36.543   0.1853  0.03805    80330  0.490   0.9977   0.6599   115.9      0.6533E-01  0.7005    
   0.2230  0.0070  35.203   0.1879  0.03851    78042  0.502   0.9977   0.6627   115.9      0.6565E-01  0.7005    
   0.2332  0.0066  33.935   0.1913  0.03916    74956  0.514   0.9977   0.6646   115.9      0.6614E-01  0.7005    
   0.2435  0.0061  32.734   0.1955  0.04007    71003  0.527   0.9976   0.6652   115.9      0.6681E-01  0.7005    
   0.2538  0.0055  31.595   0.2004  0.04136    66013  0.540   0.9976   0.6637   115.9      0.6760E-01  0.7006    
   0.2641  0.0049  30.514   0.2059  0.04325    59737  0.553   0.9975   0.6589   115.9      0.6849E-01  0.7006    
   0.2743  0.0041  29.487   0.2118  0.04620    51739  0.566   0.9975   0.6483   115.9      0.6946E-01  0.7006    
   0.2846  0.0032  28.511   0.2182  0.05157    41030  0.579   0.9974   0.6254   115.9      0.7052E-01  0.7007    
   0.2949  0.0018  27.582   0.2251  0.06724    23816  0.593   0.9974   0.5547   115.9      0.7045E-01  0.7007    
