
 Motor file not found:  MotorFile                                       
 Default motor used  :  Speed-400 3321 (6V) direct drive                                                

# QPROP Version 1.22
# 
# Test-clarkysmoothAF.mat                                                         
# 
# Speed-400 3321 (6V) direct drive                                                
#   0.31000     R  (Ohm)                        
#   0.77000     Io (Amp)                        
#    2760.0     Kv (rpm/Volt)                   
# 
#   rho =  1.0239     kg/m^3
#   mu  = 0.17000E-04 kg/m-s
#   a   =  333.20     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#   0.000   1876.    -17.582   8179.       1652.      0.3246E+06******************   0.0000   0.0000   0.00000  0.2468E-01  0.3281E-02  46.9155   0.0000  0.7070E+11   0.000       1.4198  0.1049    
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.2135  0.0037  80.839   0.8898  1.57297     9339  0.126   0.0000   0.0334   2.930       4.015      0.9860E-02
   0.2669  0.0054  76.153   1.0082  1.40256    16914  0.157   0.0000   0.0486   4.194       4.603      0.1414E-01
   0.3202  0.0078  70.795   1.1352  1.19496    29565  0.188   0.0000   0.0740   5.877       5.385      0.1986E-01
   0.3735  0.0108  65.869   1.2407  0.99750    47386  0.219   0.0000   0.1074   7.768       6.112      0.2631E-01
   0.4268  0.0142  61.324   1.3276  0.81624    71366  0.250   0.0000   0.1504   9.848       6.792      0.3345E-01
   0.4802  0.0182  57.156   1.3976  0.65626   102362  0.281   0.0000   0.2039   12.08       7.423      0.4115E-01
   0.5335  0.0226  53.355   1.4529  0.51970   141095  0.311   0.0000   0.2679   14.45       8.001      0.4933E-01
   0.5868  0.0274  49.908   1.4957  0.40675   187826  0.342   0.0000   0.3407   16.89       8.518      0.5782E-01
   0.6401  0.0323  46.801   1.5280  0.31617   241965  0.373   0.0000   0.4184   19.35       8.962      0.6641E-01
   0.6935  0.0372  44.016   1.5516  0.24594   301410  0.403   0.0000   0.4951   21.74       9.307      0.7476E-01
   0.7468  0.0416  41.535   1.5682  0.19347   362098  0.434   0.0000   0.5643   23.94       9.525      0.8244E-01
   0.8001  0.0448  39.340   1.5794  0.15591   418082  0.465   0.0000   0.6206   25.81       9.587      0.8891E-01
   0.8534  0.0466  37.400   1.5868  0.12986   464239  0.496   0.0000   0.6622   27.27       9.493      0.9388E-01
   0.9068  0.0470  35.680   1.5915  0.11215   497957  0.528   0.0000   0.6903   28.31       9.265      0.9732E-01
   0.9601  0.0463  34.146   1.5946  0.10019   519109  0.559   0.0000   0.7075   28.96       8.940      0.9937E-01
   1.0134  0.0447  32.765   1.5464  0.06592   529691  0.591   0.0000   0.7715   28.84       8.422      0.9871E-01
   1.0667  0.0426  31.506   1.4829  0.05899   532313  0.623   0.0000   0.7718   28.36       7.851      0.9677E-01
   1.1201  0.0403  30.339   1.4283  0.05365   529626  0.655   0.0000   0.7699   27.79       7.317      0.9461E-01
   1.1734  0.0380  29.238   1.3788  0.04921   523767  0.687   0.0000   0.7669   27.19       6.822      0.9235E-01
   1.2267  0.0357  28.188   1.3337  0.04559   514505  0.719   0.0000   0.7624   26.53       6.359      0.8994E-01
   1.2800  0.0332  27.182   1.2949  0.04406   499676  0.751   0.0000   0.7502   25.78       5.917      0.8728E-01
   1.3334  0.0303  26.216   1.2656  0.04691   475509  0.783   0.0000   0.7188   24.90       5.481      0.8417E-01
   1.3867  0.0267  25.283   1.2516  0.05687   435906  0.814   0.0000   0.6570   23.80       5.032      0.8033E-01
   1.4400  0.0217  24.380   1.2641  0.07812   368057  0.846   0.0000   0.5598   22.35       4.545      0.7531E-01
   1.4933  0.0130  23.504   1.3305  0.12463   228431  0.878   0.0000   0.4224   20.22       3.962      0.6805E-01
