
 Motor file not found:  MotorFile                                       
 Default motor used  :  Speed-400 3321 (6V) direct drive                                                

# QPROP Version 1.22
# 
# Test-clarky.mat                                                                 
# 
# Speed-400 3321 (6V) direct drive                                                
#   0.31000     R  (Ohm)                        
#   0.77000     Io (Amp)                        
#    2760.0     Kv (rpm/Volt)                   
# 
#   rho =  1.0555     kg/m^3
#   mu  = 0.17000E-04 kg/m-s
#   a   =  334.39     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#   0.000   1916.     -0.261   9984.       1648.      0.3306E+06******************   0.0000   0.0000   0.00000  0.2955E-01  0.3251E-02  51.7327   0.0000  0.7031E+11   0.000       0.5018  0.8352E-02
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.2516  1.5577  31.115   0.6103  0.00396  4240765  0.131   0.0000   0.9851   21.73       29.70      0.9569E-01
   0.3026  1.3654  26.543   0.5907  0.00380  4650063  0.164   0.0000   0.9836   23.50       25.37      0.9563E-01
   0.3535  1.2209  23.031   0.5728  0.00369  4982396  0.197   0.0000   0.9818   24.70       22.08      0.9559E-01
   0.4045  1.1077  20.255   0.5565  0.00361  5260896  0.229   0.0000   0.9798   25.55       19.51      0.9554E-01
   0.4554  1.0162  18.010   0.5419  0.00355  5499500  0.261   0.0000   0.9776   26.15       17.46      0.9550E-01
   0.5064  0.9401  16.157   0.5289  0.00350  5706505  0.292   0.0000   0.9753   26.60       15.79      0.9547E-01
   0.5573  0.8752  14.602   0.5177  0.00346  5885492  0.324   0.0000   0.9729   26.94       14.41      0.9544E-01
   0.6083  0.8187  13.280   0.5081  0.00343  6038779  0.355   0.0000   0.9705   27.21       13.24      0.9541E-01
   0.6592  0.7684  12.142   0.5002  0.00341  6166951  0.387   0.0000   0.9681   27.42       12.25      0.9539E-01
   0.7102  0.7229  11.154   0.4939  0.00339  6269565  0.418   0.0000   0.9657   27.59       11.39      0.9538E-01
   0.7612  0.6810  10.289   0.4894  0.00338  6346093  0.449   0.0000   0.9633   27.73       10.65      0.9538E-01
   0.8121  0.6420   9.524   0.4864  0.00337  6396204  0.480   0.0000   0.9610   27.84       9.992      0.9539E-01
   0.8631  0.6054   8.842   0.4849  0.00337  6421467  0.511   0.0000   0.9587   27.94       9.414      0.9540E-01
   0.9140  0.5710   8.228   0.4847  0.00337  6423210  0.542   0.0000   0.9565   28.03       8.901      0.9543E-01
   0.9650  0.5384   7.669   0.4854  0.00337  6402152  0.573   0.0000   0.9543   28.11       8.442      0.9548E-01
   1.0159  0.5074   7.154   0.4869  0.00338  6357891  0.604   0.0000   0.9521   28.19       8.029      0.9553E-01
   1.0669  0.4774   6.674   0.4890  0.00340  6288343  0.634   0.0000   0.9500   28.26       7.656      0.9561E-01
   1.1178  0.4482   6.220   0.4916  0.00342  6189740  0.665   0.0000   0.9478   28.34       7.318      0.9571E-01
   1.1688  0.4189   5.786   0.4944  0.00345  6054018  0.696   0.0000   0.9455   28.41       7.012      0.9583E-01
   1.2197  0.3889   5.365   0.4972  0.00369  5867851  0.727   0.0000   0.9400   28.49       6.733      0.9600E-01
   1.2707  0.3566   4.952   0.5000  0.00548  5608900  0.758   0.0000   0.9108   28.58       6.479      0.9620E-01
   1.3217  0.3202   4.542   0.5028  0.01058  5240962  0.788   0.0000   0.8369   28.69       6.248      0.9647E-01
   1.3726  0.2766   4.133   0.5059  0.02074  4703553  0.819   0.0000   0.7176   28.82       6.041      0.9684E-01
   1.4236  0.2197   3.721   0.5094  0.03782  3875764  0.850   0.0000   0.5757   29.00       5.857      0.9736E-01
   1.4745  0.1280   3.299   0.5191  0.06418  2340445  0.880   0.0000   0.4400   29.10       5.672      0.9763E-01
