
 Motor file not found:  MotorFile                                       
 Default motor used  :  Speed-400 3321 (6V) direct drive                                                

# QPROP Version 1.22
# 
# Test-clarky.mat                                                                 
# 
# Speed-400 3321 (6V) direct drive                                                
#   0.31000     R  (Ohm)                        
#   0.77000     Io (Amp)                        
#    2760.0     Kv (rpm/Volt)                   
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17000E-04 kg/m-s
#   a   =  340.29     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#   0.000   1950.     -1.769   9982.       1551.      0.3167E+06******************   0.0000   0.0000   0.00000  0.2458E-01  0.2546E-02  48.0161   0.0000  0.6229E+11   0.000       0.4149  0.8349E-02
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.2516  1.5577  31.115   0.5642  0.00367  5058867  0.132   0.0000   0.9847   21.63       28.68      0.9175E-01
   0.3026  1.3654  26.543   0.5417  0.00354  5536454  0.165   0.0000   0.9829   23.22       24.37      0.9137E-01
   0.3535  1.2209  23.031   0.5208  0.00345  5924052  0.198   0.0000   0.9806   24.25       21.11      0.9098E-01
   0.4045  1.1077  20.255   0.5017  0.00339  6248881  0.230   0.0000   0.9781   24.93       18.57      0.9057E-01
   0.4554  1.0162  18.010   0.4845  0.00334  6527264  0.262   0.0000   0.9753   25.38       16.54      0.9017E-01
   0.5064  0.9401  16.157   0.4689  0.00331  6768859  0.294   0.0000   0.9723   25.68       14.89      0.8977E-01
   0.5573  0.8752  14.602   0.4551  0.00328  6977778  0.325   0.0000   0.9692   25.87       13.52      0.8937E-01
   0.6083  0.8187  13.280   0.4430  0.00327  7156673  0.356   0.0000   0.9659   26.00       12.38      0.8898E-01
   0.6592  0.7684  12.142   0.4326  0.00325  7306161  0.388   0.0000   0.9626   26.08       11.40      0.8861E-01
   0.7102  0.7229  11.154   0.4238  0.00324  7425668  0.419   0.0000   0.9592   26.12       10.56      0.8824E-01
   0.7612  0.6810  10.289   0.4167  0.00324  7514531  0.450   0.0000   0.9558   26.13       9.826      0.8789E-01
   0.8121  0.6420   9.524   0.4111  0.00324  7572329  0.481   0.0000   0.9523   26.13       9.185      0.8754E-01
   0.8631  0.6054   8.842   0.4068  0.00324  7600906  0.512   0.0000   0.9489   26.11       8.619      0.8721E-01
   0.9140  0.5710   8.228   0.4037  0.00325  7601815  0.543   0.0000   0.9455   26.08       8.115      0.8689E-01
   0.9650  0.5384   7.669   0.4014  0.00326  7575900  0.574   0.0000   0.9421   26.04       7.664      0.8656E-01
   1.0159  0.5074   7.154   0.3999  0.00327  7522674  0.605   0.0000   0.9386   25.99       7.257      0.8624E-01
   1.0669  0.4774   6.674   0.3989  0.00329  7439669  0.636   0.0000   0.9351   25.93       6.887      0.8591E-01
   1.1178  0.4482   6.220   0.3983  0.00332  7322419  0.666   0.0000   0.9314   25.86       6.550      0.8556E-01
   1.1688  0.4189   5.786   0.3978  0.00336  7161380  0.697   0.0000   0.9274   25.79       6.240      0.8520E-01
   1.2197  0.3889   5.365   0.3973  0.00363  6940792  0.728   0.0000   0.9185   25.69       5.954      0.8481E-01
   1.2707  0.3566   4.952   0.3966  0.00551  6634226  0.759   0.0000   0.8763   25.59       5.688      0.8438E-01
   1.3217  0.3202   4.542   0.3960  0.01077  6198858  0.789   0.0000   0.7759   25.47       5.440      0.8391E-01
   1.3726  0.2766   4.133   0.3954  0.02117  5563147  0.820   0.0000   0.6269   25.34       5.209      0.8343E-01
   1.4236  0.2197   3.721   0.3948  0.03857  4584075  0.851   0.0000   0.4682   25.21       4.995      0.8295E-01
   1.4745  0.1280   3.299   0.3987  0.06533  2768170  0.882   0.0000   0.3331   24.98       4.777      0.8214E-01
