
 Motor file not found:  MotorFile                                       
 Default motor used  :  Speed-400 3321 (6V) direct drive                                                

# QPROP Version 1.22
# 
# Test-clarkysmoothAF.mat                                                         
# 
# Speed-400 3321 (6V) direct drive                                                
#   0.31000     R  (Ohm)                        
#   0.77000     Io (Amp)                        
#    2760.0     Kv (rpm/Volt)                   
# 
#   rho = 0.90456     kg/m^3
#   mu  = 0.17000E-04 kg/m-s
#   a   =  328.38     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#   0.000   1849.     -3.691   7354.       1140.      0.2207E+06******************   0.0000   0.0000   0.00000  0.2957E-01  0.3118E-02  48.9408   0.0000  0.3366E+11   0.000       0.6001  0.9829E-02
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.2119  0.4046  47.200   1.4043  0.04407   718531  0.102   0.0000   0.9365   19.42       35.57      0.1031    
   0.2633  0.3561  40.998   1.3485  0.03671   837829  0.135   0.0000   0.9398   22.00       29.85      0.1028    
   0.3146  0.3285  35.875   1.2522  0.02824   960976  0.167   0.0000   0.9446   23.69       25.52      0.1022    
   0.3660  0.3065  31.816   1.1656  0.02220  1070081  0.200   0.0000   0.9480   24.78       22.19      0.1016    
   0.4173  0.2890  28.516   1.0864  0.01769  1170696  0.232   0.0000   0.9506   25.49       19.56      0.1009    
   0.4687  0.2747  25.782   1.0145  0.01430  1265230  0.264   0.0000   0.9528   25.95       17.44      0.1002    
   0.5200  0.2627  23.483   0.9499  0.01175  1354735  0.295   0.0000   0.9545   26.23       15.70      0.9944E-01
   0.5714  0.2523  21.527   0.8923  0.00983  1439410  0.327   0.0000   0.9557   26.39       14.25      0.9870E-01
   0.6227  0.2430  19.850   0.8416  0.00839  1518661  0.358   0.0000   0.9565   26.47       13.02      0.9798E-01
   0.6741  0.2343  18.402   0.7976  0.00733  1591496  0.389   0.0000   0.9566   26.49       11.98      0.9727E-01
   0.7254  0.2259  17.148   0.7602  0.00654  1656521  0.420   0.0000   0.9563   26.48       11.07      0.9659E-01
   0.7768  0.2175  16.059   0.7292  0.00598  1712546  0.451   0.0000   0.9554   26.44       10.29      0.9595E-01
   0.8281  0.2093  15.104   0.7033  0.00556  1760441  0.481   0.0000   0.9541   26.38       9.607      0.9536E-01
   0.8795  0.2014  14.252   0.6810  0.00524  1802461  0.512   0.0000   0.9525   26.32       9.003      0.9479E-01
   0.9308  0.1941  13.479   0.6607  0.00498  1841438  0.543   0.0000   0.9507   26.24       8.466      0.9425E-01
   0.9822  0.1877  12.760   0.6407  0.00475  1880614  0.573   0.0000   0.9488   26.15       7.983      0.9370E-01
   1.0335  0.1822  12.074   0.6193  0.00454  1923370  0.604   0.0000   0.9467   26.04       7.543      0.9310E-01
   1.0849  0.1779  11.406   0.5953  0.00433  1973362  0.635   0.0000   0.9443   25.90       7.138      0.9242E-01
   1.1362  0.1750  10.738   0.5669  0.00412  2033798  0.665   0.0000   0.9414   25.71       6.758      0.9160E-01
   1.1876  0.1731  10.064   0.5340  0.00395  2104440  0.696   0.0000   0.9373   25.46       6.397      0.9058E-01
   1.2389  0.1717   9.380   0.4964  0.00402  2179734  0.726   0.0000   0.9282   25.12       6.046      0.8926E-01
   1.2903  0.1697   8.689   0.4551  0.00564  2244800  0.757   0.0000   0.8885   24.68       5.699      0.8759E-01
   1.3416  0.1645   7.991   0.4106  0.01053  2263451  0.788   0.0000   0.7830   24.11       5.349      0.8546E-01
   1.3930  0.1496   7.285   0.3634  0.02053  2139298  0.818   0.0000   0.6042   23.36       4.989      0.8272E-01
   1.4443  0.1017   6.574   0.3192  0.03790  1508477  0.849   0.0000   0.3997   22.32       4.593      0.7893E-01
