
 Motor file not found:  MotorFile                                       
 Default motor used  :  Speed-400 3321 (6V) direct drive                                                

# QPROP Version 1.22
# 
# Test-clarky.mat                                                                 
# 
# Speed-400 3321 (6V) direct drive                                                
#   0.31000     R  (Ohm)                        
#   0.77000     Io (Amp)                        
#    2760.0     Kv (rpm/Volt)                   
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17000E-04 kg/m-s
#   a   =  340.29     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#   0.000   5363.    -20.949   3188.       295.3      0.1658E+06********85341.9531   0.0001   0.0000   0.00000  0.7184E-01  0.1280E-01  78.2780   0.0000  0.2258E+10   0.000       1.0006  0.2180E-01
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0845  0.1442  72.007   1.3748  0.42204   450939  0.128   0.0000   0.5104   17.59       23.91      0.7205E-01
   0.1023  0.1703  69.076   1.4007  0.34163   644718  0.154   0.0000   0.5749   21.24       23.84      0.8693E-01
   0.1201  0.1942  66.236   1.4218  0.27398   863857  0.181   0.0000   0.6361   24.81       23.69      0.1013    
   0.1378  0.2156  63.499   1.4388  0.21773  1103049  0.209   0.0000   0.6928   28.27       23.46      0.1150    
   0.1556  0.2343  60.866   1.4520  0.17152  1356490  0.236   0.0000   0.7440   31.61       23.16      0.1280    
   0.1734  0.2502  58.345   1.4622  0.13412  1618156  0.264   0.0000   0.7893   34.80       22.81      0.1402    
   0.1912  0.2632  55.938   1.4697  0.10432  1882013  0.292   0.0000   0.8282   37.84       22.41      0.1516    
   0.2089  0.2732  53.644   1.4751  0.08100  2142219  0.320   0.0000   0.8607   40.73       21.98      0.1622    
   0.2267  0.2804  51.462   1.4556  0.03205  2395950  0.348   0.0000   0.9385   43.18       21.35      0.1704    
   0.2445  0.2848  49.389   1.3737  0.02535  2643557  0.379   0.0000   0.9459   44.60       20.26      0.1735    
   0.2623  0.2866  47.424   1.2986  0.02027  2872244  0.409   0.0000   0.9519   45.75       19.20      0.1757    
   0.2800  0.2858  45.560   1.2295  0.01639  3077615  0.439   0.0000   0.9568   46.64       18.19      0.1770    
   0.2978  0.2828  43.795   1.1661  0.01341  3255609  0.469   0.0000   0.9608   47.29       17.22      0.1775    
   0.3156  0.2776  42.124   1.1078  0.01112  3402815  0.500   0.0000   0.9639   47.71       16.29      0.1773    
   0.3334  0.2703  40.541   1.0542  0.00936  3515755  0.530   0.0000   0.9664   47.92       15.40      0.1765    
   0.3511  0.2611  39.041   1.0048  0.00800  3591246  0.561   0.0000   0.9682   47.95       14.55      0.1752    
   0.3689  0.2500  37.621   0.9593  0.00698  3626114  0.591   0.0000   0.9694   47.81       13.74      0.1735    
   0.3867  0.2372  36.274   0.9175  0.00621  3616485  0.622   0.0000   0.9700   47.52       12.98      0.1714    
   0.4045  0.2224  34.997   0.8791  0.00566  3557764  0.652   0.0000   0.9699   47.10       12.25      0.1689    
   0.4222  0.2057  33.786   0.8438  0.00529  3443728  0.683   0.0000   0.9691   46.57       11.56      0.1661    
   0.4400  0.1868  32.635   0.8117  0.00510  3265403  0.713   0.0000   0.9673   45.94       10.91      0.1632    
   0.4578  0.1651  31.542   0.7824  0.00584  3008785  0.743   0.0000   0.9592   45.24       10.30      0.1600    
   0.4756  0.1397  30.502   0.7561  0.00916  2649134  0.774   0.0000   0.9321   44.49       9.729      0.1568    
   0.4933  0.1082  29.512   0.7327  0.01680  2132474  0.804   0.0000   0.8727   43.70       9.195      0.1536    
   0.5111  0.0614  28.568   0.7197  0.03131  1254803  0.834   0.0000   0.7727   42.73       8.660      0.1497    
