
 Motor file not found:  MotorFile                                       
 Default motor used  :  Speed-400 3321 (6V) direct drive                                                

# QPROP Version 1.22
# 
# Test-clarky.mat                                                                 
# 
# Speed-400 3321 (6V) direct drive                                                
#   0.31000     R  (Ohm)                        
#   0.77000     Io (Amp)                        
#    2760.0     Kv (rpm/Volt)                   
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17000E-04 kg/m-s
#   a   =  340.29     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#   0.000   5048.    -23.241   2452.       205.4      0.1086E+06********59363.4219   0.0001   0.0000   0.00000  0.6238E-01  0.1005E-01  68.6495   0.0000  0.1093E+10   0.000       0.8572  0.1544E-01
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0845  0.1442  72.007   1.3974  0.36348   423814  0.120   0.0000   0.5587   16.65       24.09      0.7267E-01
   0.1023  0.1703  69.076   1.4201  0.28872   606076  0.145   0.0000   0.6243   20.09       23.99      0.8756E-01
   0.1201  0.1942  66.236   1.4382  0.22696   812252  0.171   0.0000   0.6853   23.44       23.82      0.1019    
   0.1378  0.2156  63.499   1.4523  0.17661  1037350  0.196   0.0000   0.7405   26.70       23.56      0.1156    
   0.1556  0.2343  60.866   1.4631  0.13617  1275908  0.222   0.0000   0.7891   29.83       23.25      0.1285    
   0.1734  0.2502  58.345   1.4709  0.10431  1522253  0.248   0.0000   0.8305   32.83       22.88      0.1407    
   0.1912  0.2632  55.938   1.4763  0.07976  1770700  0.274   0.0000   0.8647   35.68       22.46      0.1520    
   0.2089  0.2732  53.644   1.4073  0.03131  2023193  0.302   0.0000   0.9382   37.64       21.48      0.1581    
   0.2267  0.2804  51.462   1.3179  0.02392  2270363  0.330   0.0000   0.9469   39.04       20.33      0.1615    
   0.2445  0.2848  49.389   1.2355  0.01846  2504396  0.359   0.0000   0.9539   40.16       19.21      0.1639    
   0.2623  0.2866  47.424   1.1597  0.01441  2720394  0.387   0.0000   0.9595   41.01       18.14      0.1652    
   0.2800  0.2858  45.560   1.0897  0.01140  2914215  0.416   0.0000   0.9640   41.59       17.10      0.1656    
   0.2978  0.2828  43.795   1.0251  0.00917  3082037  0.444   0.0000   0.9674   41.94       16.10      0.1653    
   0.3156  0.2776  42.124   0.9653  0.00753  3220659  0.473   0.0000   0.9699   42.06       15.14      0.1642    
   0.3334  0.2703  40.541   0.9099  0.00634  3326813  0.502   0.0000   0.9715   41.98       14.23      0.1626    
   0.3511  0.2611  39.041   0.8585  0.00550  3397520  0.531   0.0000   0.9722   41.72       13.36      0.1603    
   0.3689  0.2500  37.621   0.8106  0.00494  3429805  0.559   0.0000   0.9720   41.28       12.52      0.1576    
   0.3867  0.2372  36.274   0.7661  0.00461  3420031  0.588   0.0000   0.9706   40.68       11.73      0.1544    
   0.4045  0.2224  34.997   0.7245  0.00447  3363882  0.617   0.0000   0.9680   39.95       10.97      0.1508    
   0.4222  0.2057  33.786   0.6857  0.00449  3255502  0.645   0.0000   0.9639   39.08       10.25      0.1468    
   0.4400  0.1868  32.635   0.6495  0.00462  3086436  0.674   0.0000   0.9584   38.11       9.564      0.1426    
   0.4578  0.1651  31.542   0.6156  0.00483  2843472  0.703   0.0000   0.9511   37.03       8.910      0.1380    
   0.4756  0.1397  30.502   0.5839  0.00549  2503262  0.731   0.0000   0.9381   35.86       8.289      0.1332    
   0.4933  0.1082  29.512   0.5542  0.00793  2014834  0.759   0.0000   0.9025   34.62       7.698      0.1282    
   0.5111  0.0614  28.568   0.5317  0.01445  1185439  0.788   0.0000   0.8182   33.16       7.104      0.1225    
