
 Motor file not found:  MotorFile                                       
 Default motor used  :  Speed-400 3321 (6V) direct drive                                                

# QPROP Version 1.22
# 
# Test-clarky.mat                                                                 
# 
# Speed-400 3321 (6V) direct drive                                                
#   0.31000     R  (Ohm)                        
#   0.77000     Io (Amp)                        
#    2760.0     Kv (rpm/Volt)                   
# 
#   rho =  1.0555     kg/m^3
#   mu  = 0.17000E-04 kg/m-s
#   a   =  334.39     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#   0.000   9580.     -0.215   332.7       11.26      0.1129E+051012.383 3254.5562   0.0034   0.0000   0.00000  0.2462E-01  0.2777E-02  47.2187   0.0000  0.3295E+07   0.000       0.4028  0.1333E-01
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0484  0.3148  28.561   0.5161  0.00920   836318  0.128   0.0000   0.9586   20.20       28.18      0.8640E-01
   0.0587  0.2753  23.976   0.4961  0.00885   920114  0.161   0.0000   0.9536   21.74       23.83      0.8634E-01
   0.0689  0.2462  20.516   0.4778  0.00861   989286  0.194   0.0000   0.9477   22.76       20.59      0.8630E-01
   0.0792  0.2237  17.818   0.4612  0.00844  1048720  0.226   0.0000   0.9413   23.45       18.09      0.8626E-01
   0.0895  0.2057  15.657   0.4462  0.00831  1100941  0.258   0.0000   0.9344   23.95       16.13      0.8622E-01
   0.0997  0.1908  13.888   0.4330  0.00820  1147299  0.290   0.0000   0.9273   24.30       14.53      0.8618E-01
   0.1100  0.1782  12.415   0.4214  0.00812  1188337  0.321   0.0000   0.9200   24.57       13.22      0.8615E-01
   0.1203  0.1671  11.170   0.4115  0.00805  1224177  0.353   0.0000   0.9127   24.78       12.12      0.8612E-01
   0.1305  0.1573  10.104   0.4033  0.00800  1254692  0.384   0.0000   0.9053   24.94       11.19      0.8610E-01
   0.1408  0.1483   9.184   0.3968  0.00795  1279759  0.416   0.0000   0.8982   25.06       10.39      0.8609E-01
   0.1511  0.1400   8.383   0.3920  0.00792  1298829  0.447   0.0000   0.8912   25.17       9.699      0.8608E-01
   0.1614  0.1322   7.679   0.3888  0.00790  1311811  0.478   0.0000   0.8845   25.26       9.093      0.8608E-01
   0.1716  0.1248   7.057   0.3871  0.00789  1319157  0.509   0.0000   0.8780   25.34       8.558      0.8609E-01
   0.1819  0.1178   6.499   0.3866  0.00788  1321191  0.540   0.0000   0.8719   25.40       8.083      0.8611E-01
   0.1922  0.1111   5.995   0.3871  0.00789  1318248  0.571   0.0000   0.8660   25.47       7.660      0.8615E-01
   0.2024  0.1048   5.534   0.3884  0.00791  1310649  0.602   0.0000   0.8603   25.52       7.279      0.8619E-01
   0.2127  0.0987   5.106   0.3903  0.00793  1298177  0.633   0.0000   0.8547   25.58       6.936      0.8626E-01
   0.2230  0.0928   4.705   0.3926  0.00798  1280201  0.664   0.0000   0.8491   25.64       6.626      0.8634E-01
   0.2332  0.0869   4.323   0.3951  0.00804  1255305  0.695   0.0000   0.8434   25.70       6.344      0.8644E-01
   0.2435  0.0810   3.954   0.3975  0.00832  1220925  0.726   0.0000   0.8340   25.76       6.088      0.8658E-01
   0.2538  0.0746   3.593   0.3998  0.01018  1172356  0.757   0.0000   0.7990   25.84       5.855      0.8675E-01
   0.2641  0.0673   3.238   0.4021  0.01543  1101512  0.788   0.0000   0.7175   25.92       5.643      0.8698E-01
   0.2743  0.0585   2.883   0.4045  0.02593   994860  0.819   0.0000   0.5945   26.03       5.453      0.8729E-01
   0.2846  0.0468   2.527   0.4070  0.04369   825427  0.850   0.0000   0.4581   26.17       5.283      0.8772E-01
   0.2949  0.0274   2.166   0.4146  0.07192   501898  0.881   0.0000   0.3350   26.26       5.113      0.8794E-01
