
 Motor file not found:  MotorFile                                       
 Default motor used  :  Speed-400 3321 (6V) direct drive                                                

# QPROP Version 1.22
# 
# Test-clarky.mat                                                                 
# 
# Speed-400 3321 (6V) direct drive                                                
#   0.31000     R  (Ohm)                        
#   0.77000     Io (Amp)                        
#    2760.0     Kv (rpm/Volt)                   
# 
#   rho =  1.1210     kg/m^3
#   mu  = 0.17000E-04 kg/m-s
#   a   =  336.77     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#  82.310   5874.     -7.522   4.329      0.9532       586.3      87.769  276.2615   0.0242   0.6077   0.44604  0.8022E-03  0.5887E-03   0.1658   0.0147  0.2425E+05   356.3       0.1888  0.4482E-01
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0484  0.0043  71.561  -0.0663  0.12996    24541  0.260   1.0008  22.0885   82.30     -0.1546E-01  0.4457    
   0.0587  0.0050  68.526  -0.0092  0.07685    29816  0.267   1.0001  -7.5316   82.31     -0.2491E-02  0.4460    
   0.0689  0.0057  65.592   0.0529  0.06616    35068  0.275   0.9993  -0.8687   82.32      0.1606E-01  0.4464    
   0.0792  0.0064  62.769   0.1049  0.05837    40274  0.284   0.9986   0.0443   82.34      0.3478E-01  0.4467    
   0.0895  0.0069  60.063   0.1474  0.05262    45353  0.294   0.9980   0.3754   82.36      0.5236E-01  0.4469    
   0.0997  0.0074  57.479   0.1810  0.04833    50237  0.305   0.9975   0.5347   82.38      0.6792E-01  0.4471    
   0.1100  0.0078  55.017   0.2067  0.04509    54857  0.316   0.9971   0.6225   82.41      0.8095E-01  0.4473    
   0.1203  0.0081  52.679   0.2255  0.04265    59157  0.329   0.9968   0.6746   82.43      0.9126E-01  0.4475    
   0.1305  0.0083  50.460   0.2383  0.04081    63066  0.341   0.9966   0.7062   82.45      0.9883E-01  0.4476    
   0.1408  0.0084  48.360   0.2459  0.03945    66542  0.355   0.9964   0.7251   82.47      0.1038      0.4477    
   0.1511  0.0085  46.373   0.2493  0.03847    69537  0.369   0.9963   0.7352   82.48      0.1065      0.4477    
   0.1614  0.0085  44.494   0.2490  0.03781    72003  0.383   0.9962   0.7388   82.50      0.1071      0.4477    
   0.1716  0.0084  42.719   0.2458  0.03743    73919  0.398   0.9962   0.7373   82.51      0.1060      0.4477    
   0.1819  0.0082  41.041   0.2400  0.03730    75249  0.412   0.9962   0.7313   82.51      0.1035      0.4477    
   0.1922  0.0080  39.457   0.2323  0.03740    75934  0.428   0.9963   0.7213   82.52      0.9978E-01  0.4477    
   0.2024  0.0077  37.959   0.2229  0.03772    75981  0.443   0.9964   0.7073   82.52      0.9515E-01  0.4477    
   0.2127  0.0074  36.543   0.2121  0.03828    75308  0.459   0.9965   0.6891   82.52      0.8978E-01  0.4476    
   0.2230  0.0070  35.203   0.2003  0.03910    73880  0.475   0.9967   0.6664   82.51      0.8390E-01  0.4475    
   0.2332  0.0066  33.935   0.1876  0.04022    71606  0.491   0.9969   0.6387   82.50      0.7763E-01  0.4474    
   0.2435  0.0061  32.734   0.1741  0.04170    68407  0.508   0.9971   0.6051   82.50      0.7110E-01  0.4474    
   0.2538  0.0055  31.595   0.1601  0.04369    64104  0.524   0.9973   0.5643   82.49      0.6442E-01  0.4473    
   0.2641  0.0049  30.514   0.1455  0.04645    58436  0.541   0.9975   0.5145   82.47      0.5766E-01  0.4472    
   0.2743  0.0041  29.487   0.1305  0.05052    50960  0.557   0.9978   0.4525   82.46      0.5087E-01  0.4470    
   0.2846  0.0032  28.511   0.1151  0.05747    40672  0.574   0.9980   0.3713   82.45      0.4415E-01  0.4469    
   0.2949  0.0018  27.582   0.0994  0.07646    23748  0.591   0.9983   0.2416   82.43      0.3684E-01  0.4468    
