
 Motor file not found:  MotorFile                                       
 Default motor used  :  Speed-400 3321 (6V) direct drive                                                

# QPROP Version 1.22
# 
# Test-clarkysmoothAF.mat                                                         
# 
# Speed-400 3321 (6V) direct drive                                                
#   0.31000     R  (Ohm)                        
#   0.77000     Io (Amp)                        
#    2760.0     Kv (rpm/Volt)                   
# 
#   rho =  1.0239     kg/m^3
#   mu  = 0.17000E-04 kg/m-s
#   a   =  333.20     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#   0.000   1876.     -1.434   9072.       1446.      0.2840E+06******************   0.0000   0.0000   0.00000  0.2738E-01  0.2871E-02  49.4120   0.0000  0.5413E+11   0.000       0.7799  0.1624E-01
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.2135  0.3109  42.888   1.5197  0.05638   661631  0.106   0.0000   0.9228   19.05       32.62      0.8992E-01
   0.2669  0.2673  37.001   1.4806  0.04945   751330  0.140   0.0000   0.9227   21.26       27.09      0.8980E-01
   0.3202  0.2439  32.166   1.3862  0.03916   850333  0.174   0.0000   0.9265   22.66       23.05      0.8962E-01
   0.3735  0.2257  28.404   1.3026  0.03170   937408  0.207   0.0000   0.9290   23.58       20.00      0.8943E-01
   0.4268  0.2115  25.377   1.2264  0.02598  1018068  0.240   0.0000   0.9312   24.20       17.63      0.8923E-01
   0.4802  0.2002  22.886   1.1573  0.02155  1094555  0.272   0.0000   0.9331   24.63       15.74      0.8905E-01
   0.5335  0.1908  20.800   1.0954  0.01810  1167490  0.305   0.0000   0.9348   24.94       14.21      0.8887E-01
   0.5868  0.1828  19.031   1.0405  0.01542  1236964  0.337   0.0000   0.9362   25.16       12.94      0.8870E-01
   0.6401  0.1757  17.516   0.9925  0.01335  1302363  0.369   0.0000   0.9372   25.32       11.87      0.8855E-01
   0.6935  0.1692  16.212   0.9515  0.01176  1362700  0.401   0.0000   0.9378   25.45       10.97      0.8842E-01
   0.7468  0.1629  15.084   0.9175  0.01057  1416800  0.433   0.0000   0.9378   25.55       10.19      0.8832E-01
   0.8001  0.1568  14.106   0.8904  0.00970  1463524  0.465   0.0000   0.9373   25.63       9.518      0.8825E-01
   0.8534  0.1507  13.250   0.8689  0.00905  1503350  0.497   0.0000   0.9363   25.71       8.930      0.8823E-01
   0.9068  0.1450  12.488   0.8515  0.00855  1538431  0.529   0.0000   0.9350   25.78       8.414      0.8824E-01
   0.9601  0.1396  11.795   0.8364  0.00814  1571056  0.561   0.0000   0.9336   25.86       7.956      0.8828E-01
   1.0134  0.1350  11.149   0.8219  0.00776  1604392  0.592   0.0000   0.9323   25.93       7.549      0.8836E-01
   1.0667  0.1311  10.530   0.8061  0.00737  1641425  0.624   0.0000   0.9313   26.00       7.184      0.8846E-01
   1.1201  0.1281   9.921   0.7873  0.00694  1685575  0.656   0.0000   0.9307   26.07       6.854      0.8857E-01
   1.1734  0.1262   9.308   0.7635  0.00644  1740818  0.687   0.0000   0.9307   26.14       6.553      0.8868E-01
   1.2267  0.1253   8.683   0.7340  0.00595  1808069  0.719   0.0000   0.9305   26.19       6.277      0.8877E-01
   1.2800  0.1251   8.047   0.6987  0.00661  1884891  0.751   0.0000   0.9168   26.24       6.022      0.8884E-01
   1.3334  0.1249   7.399   0.6573  0.01034  1960823  0.782   0.0000   0.8642   26.26       5.783      0.8885E-01
   1.3867  0.1228   6.740   0.6096  0.01909  2005934  0.814   0.0000   0.7542   26.26       5.558      0.8878E-01
   1.4400  0.1139   6.072   0.5555  0.03488  1932242  0.845   0.0000   0.5947   26.23       5.343      0.8859E-01
   1.4933  0.0790   5.399   0.5024  0.06023  1390469  0.877   0.0000   0.4223   25.99       5.104      0.8775E-01
