
 Motor file not found:  MotorFile                                       
 Default motor used  :  Speed-400 3321 (6V) direct drive                                                

# QPROP Version 1.22
# 
# Test-clarkysmoothAF.mat                                                         
# 
# Speed-400 3321 (6V) direct drive                                                
#   0.31000     R  (Ohm)                        
#   0.77000     Io (Amp)                        
#    2760.0     Kv (rpm/Volt)                   
# 
#   rho = 0.90456     kg/m^3
#   mu  = 0.17000E-04 kg/m-s
#   a   =  328.38     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#  77.166   688.6      0.000   908.2       1084.      0.7814E+05******************   0.0000   0.8969   0.70404  0.2303E-01  0.1808E-01   1.7722   0.0000  0.3041E+11  0.7008E+05   0.2097  0.7241E-02
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.3297  0.0200  74.708   0.5634  0.02001    85744  0.246   0.9643   0.8712   77.40      0.5770      0.7301    
   0.3783  0.0277  71.935   0.4986  0.01628   120785  0.249   0.9643   0.8942   77.46      0.6450      0.7301    
   0.4268  0.0375  69.269   0.4399  0.01397   165898  0.253   0.9643   0.9063   77.53      0.7071      0.7301    
   0.4754  0.0496  66.712   0.3872  0.01229   223038  0.257   0.9643   0.9135   77.61      0.7632      0.7301    
   0.5240  0.0643  64.270   0.3405  0.01100   294087  0.262   0.9643   0.9176   77.69      0.8132      0.7301    
   0.5726  0.0817  61.943   0.3000  0.00998   380534  0.266   0.9643   0.9197   77.77      0.8575      0.7301    
   0.6212  0.1017  59.733   0.2654  0.00915   482827  0.272   0.9643   0.9207   77.85      0.8959      0.7301    
   0.6698  0.1237  57.641   0.2369  0.00845   599182  0.277   0.9643   0.9210   77.93      0.9290      0.7301    
   0.7184  0.1465  55.666   0.2145  0.00788   724607  0.283   0.9643   0.9213   78.01      0.9570      0.7301    
   0.7669  0.1682  53.807   0.1981  0.00742   849705  0.289   0.9643   0.9220   78.09      0.9802      0.7301    
   0.8155  0.1865  52.062   0.1876  0.00706   962633  0.295   0.9643   0.9233   78.17      0.9991      0.7301    
   0.8641  0.1998  50.422   0.1820  0.00679  1054370  0.302   0.9643   0.9252   78.24       1.014      0.7301    
   0.9127  0.2076  48.879   0.1805  0.00660  1120102  0.309   0.9643   0.9277   78.32       1.025      0.7301    
   0.9613  0.2102  47.424   0.1822  0.00647  1159777  0.316   0.9643   0.9304   78.39       1.033      0.7301    
   1.0099  0.2085  46.045   0.1860  0.00640  1176718  0.323   0.9643   0.9330   78.46       1.038      0.7301    
   1.0584  0.2037  44.738   0.1912  0.00636  1176282  0.330   0.9643   0.9355   78.53       1.041      0.7301    
   1.1070  0.1970  43.490   0.1967  0.00635  1163846  0.338   0.9643   0.9375   78.59       1.042      0.7301    
   1.1556  0.1893  42.291   0.2016  0.00637  1143872  0.346   0.9643   0.9388   78.65       1.040      0.7301    
   1.2042  0.1809  41.136   0.2053  0.00641  1117870  0.354   0.9643   0.9394   78.71       1.036      0.7301    
   1.2528  0.1714  40.022   0.2078  0.00650  1083143  0.362   0.9643   0.9392   78.77       1.031      0.7301    
   1.3014  0.1602  38.948   0.2092  0.00663  1035549  0.370   0.9643   0.9381   78.82       1.025      0.7301    
   1.3500  0.1466  37.909   0.2093  0.00686   968609  0.378   0.9643   0.9358   78.87       1.018      0.7301    
   1.3985  0.1290  36.905   0.2082  0.00724   871482  0.387   0.9643   0.9316   78.92       1.010      0.7301    
   1.4471  0.1045  35.933   0.2058  0.00798   721453  0.395   0.9643   0.9236   78.97       1.001      0.7301    
   1.4957  0.0622  34.992   0.2037  0.01025   438865  0.404   0.9647   0.9015   78.99      0.9809      0.7298    
