
 Motor file not found:  MotorFile                                       
 Default motor used  :  Speed-400 3321 (6V) direct drive                                                

# QPROP Version 1.22
# 
# Test-clarky.mat                                                                 
# 
# Speed-400 3321 (6V) direct drive                                                
#   0.31000     R  (Ohm)                        
#   0.77000     Io (Amp)                        
#    2760.0     Kv (rpm/Volt)                   
# 
#   rho =  1.2250     kg/m^3
#   mu  = 0.17000E-04 kg/m-s
#   a   =  340.29     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#   0.000   9207.      0.000   360.3       11.24      0.1084E+051010.842 3250.0193   0.0033   0.0000   0.00000  0.2487E-01  0.2586E-02  45.6136   0.0000  0.3285E+07   0.000       0.4068  0.9421E-02
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.0484  0.3148  28.561   0.5222  0.00869   931585  0.121   0.0000   0.9613   19.48       28.32      0.8693E-01
   0.0587  0.2753  23.976   0.5025  0.00836  1025221  0.152   0.0000   0.9568   20.99       23.97      0.8692E-01
   0.0689  0.2462  20.516   0.4844  0.00813  1102516  0.183   0.0000   0.9514   21.99       20.72      0.8692E-01
   0.0792  0.2237  17.818   0.4681  0.00796  1168925  0.213   0.0000   0.9455   22.68       18.22      0.8692E-01
   0.0895  0.2057  15.657   0.4534  0.00784  1227271  0.243   0.0000   0.9393   23.17       16.25      0.8692E-01
   0.0997  0.1908  13.888   0.4403  0.00774  1279063  0.273   0.0000   0.9327   23.53       14.65      0.8692E-01
   0.1100  0.1782  12.415   0.4288  0.00765  1324909  0.303   0.0000   0.9260   23.80       13.34      0.8692E-01
   0.1203  0.1671  11.170   0.4191  0.00759  1364949  0.333   0.0000   0.9193   24.01       12.23      0.8692E-01
   0.1305  0.1573  10.104   0.4109  0.00754  1399044  0.363   0.0000   0.9126   24.18       11.30      0.8692E-01
   0.1408  0.1483   9.184   0.4044  0.00749  1427057  0.392   0.0000   0.9059   24.31       10.49      0.8692E-01
   0.1511  0.1400   8.383   0.3996  0.00746  1448376  0.422   0.0000   0.8994   24.41       9.792      0.8692E-01
   0.1614  0.1322   7.679   0.3963  0.00744  1462902  0.451   0.0000   0.8932   24.50       9.180      0.8692E-01
   0.1716  0.1248   7.057   0.3944  0.00743  1471139  0.481   0.0000   0.8871   24.57       8.639      0.8692E-01
   0.1819  0.1178   6.499   0.3937  0.00743  1473448  0.510   0.0000   0.8813   24.64       8.158      0.8692E-01
   0.1922  0.1111   5.995   0.3939  0.00744  1470205  0.540   0.0000   0.8756   24.69       7.727      0.8692E-01
   0.2024  0.1048   5.534   0.3948  0.00745  1461765  0.569   0.0000   0.8700   24.73       7.340      0.8692E-01
   0.2127  0.0987   5.106   0.3961  0.00748  1447888  0.598   0.0000   0.8645   24.77       6.989      0.8692E-01
   0.2230  0.0928   4.705   0.3976  0.00753  1427872  0.627   0.0000   0.8588   24.80       6.670      0.8692E-01
   0.2332  0.0869   4.323   0.3991  0.00759  1400136  0.657   0.0000   0.8528   24.83       6.379      0.8692E-01
   0.2435  0.0810   3.954   0.4004  0.00769  1361821  0.686   0.0000   0.8461   24.86       6.112      0.8692E-01
   0.2538  0.0746   3.593   0.4012  0.00788  1307678  0.715   0.0000   0.8378   24.88       5.866      0.8692E-01
   0.2641  0.0673   3.238   0.4017  0.00897  1228689  0.745   0.0000   0.8137   24.90       5.640      0.8692E-01
   0.2743  0.0585   2.883   0.4017  0.01253  1109758  0.774   0.0000   0.7507   24.92       5.430      0.8692E-01
   0.2846  0.0468   2.527   0.4012  0.02027   920792  0.803   0.0000   0.6416   24.94       5.236      0.8693E-01
   0.2949  0.0274   2.166   0.4045  0.03508   559913  0.832   0.0000   0.4999   24.83       5.031      0.8652E-01
