
 Motor file not found:  MotorFile                                       
 Default motor used  :  Speed-400 3321 (6V) direct drive                                                

# QPROP Version 1.22
# 
# Test-clarkysmoothAF.mat                                                         
# 
# Speed-400 3321 (6V) direct drive                                                
#   0.31000     R  (Ohm)                        
#   0.77000     Io (Amp)                        
#    2760.0     Kv (rpm/Volt)                   
# 
#   rho =  1.0239     kg/m^3
#   mu  = 0.17000E-04 kg/m-s
#   a   =  333.20     m/s   
# 
#  1         2        3          4          5         6            7         8       9        10        11        12          13        14        15      16          17           18      19
# 
#  V(m/s)    rpm      Dbeta      T(N)       Q(N-m)    Pshaft(W)    Volts     Amps    effmot   effprop   adv       CT          CP        DV(m/s)   eff     Pelec       Pprop        cl_avg  cd_avg
#   0.000   1471.      0.000   6051.       925.7      0.1426E+06******************   0.0000   0.0000   0.00000  0.2969E-01  0.2988E-02  40.3532   0.0000  0.2219E+11   0.000       0.8479  0.1155E-01
# 
#  radius   chord   beta      Cl       Cd       Re    Mach     effi     effp    Wa(m/s)     Aswirl      adv_wake
   0.2135  0.3109  42.888   1.5892  0.11835   515003  0.083   0.0000   0.8542   15.10       33.29      0.9226E-01
   0.2669  0.2673  37.001   1.5658  0.06476   585425  0.109   0.0000   0.9071   16.97       27.81      0.9262E-01
   0.3202  0.2439  32.166   1.4738  0.05200   663475  0.136   0.0000   0.9113   18.18       23.73      0.9262E-01
   0.3735  0.2257  28.404   1.3920  0.04267   732118  0.162   0.0000   0.9141   18.99       20.65      0.9262E-01
   0.4268  0.2115  25.377   1.3170  0.03542   795670  0.187   0.0000   0.9164   19.56       18.25      0.9262E-01
   0.4802  0.2002  22.886   1.2487  0.02971   855901  0.213   0.0000   0.9185   19.97       16.34      0.9262E-01
   0.5335  0.1908  20.800   1.1871  0.02520   913310  0.239   0.0000   0.9204   20.28       14.78      0.9262E-01
   0.5868  0.1828  19.031   1.1321  0.02164   967979  0.264   0.0000   0.9220   20.51       13.49      0.9262E-01
   0.6401  0.1757  17.516   1.0839  0.01885  1019435  0.289   0.0000   0.9232   20.69       12.40      0.9262E-01
   0.6935  0.1692  16.212   1.0424  0.01668  1066908  0.314   0.0000   0.9239   20.83       11.48      0.9262E-01
   0.7468  0.1629  15.084   1.0076  0.01501  1109486  0.339   0.0000   0.9241   20.95       10.68      0.9262E-01
   0.8001  0.1568  14.106   0.9794  0.01376  1146275  0.364   0.0000   0.9237   21.04       9.979      0.9262E-01
   0.8534  0.1507  13.250   0.9565  0.01282  1177652  0.389   0.0000   0.9228   21.12       9.367      0.9262E-01
   0.9068  0.1450  12.488   0.9372  0.01206  1205300  0.414   0.0000   0.9216   21.18       8.825      0.9262E-01
   0.9601  0.1396  11.795   0.9197  0.01141  1231015  0.439   0.0000   0.9203   21.23       8.342      0.9262E-01
   1.0134  0.1350  11.149   0.9021  0.01079  1257276  0.464   0.0000   0.9192   21.28       7.909      0.9262E-01
   1.0667  0.1311  10.530   0.8828  0.01014  1286425  0.489   0.0000   0.9185   21.32       7.518      0.9262E-01
   1.1201  0.1281   9.921   0.8599  0.00943  1321141  0.514   0.0000   0.9185   21.35       7.164      0.9262E-01
   1.1734  0.1262   9.308   0.8316  0.00863  1364542  0.539   0.0000   0.9193   21.38       6.841      0.9262E-01
   1.2267  0.1253   8.683   0.7973  0.00776  1417345  0.564   0.0000   0.9208   21.41       6.546      0.9261E-01
   1.2800  0.1251   8.047   0.7569  0.00687  1477640  0.588   0.0000   0.9228   21.43       6.276      0.9262E-01
   1.3334  0.1249   7.399   0.7104  0.00605  1537224  0.613   0.0000   0.9246   21.45       6.027      0.9262E-01
   1.3867  0.1228   6.740   0.6578  0.00536  1572629  0.638   0.0000   0.9249   21.47       5.797      0.9262E-01
   1.4400  0.1139   6.072   0.5990  0.00496  1514871  0.663   0.0000   0.9212   21.49       5.585      0.9264E-01
   1.4933  0.0790   5.399   0.5409  0.00551  1090136  0.688   0.0000   0.9010   21.36       5.350      0.9200E-01
