Designed blade                  
  n         V/wR         Btip            V          rpm          rho       mu*1e5       Vsound            h        P(kW)         T(N)       Q(N-m)          eff
----------------------------------------------------------------------------------------------------------------------------------------------------------------
  1  0.19339E-01   6.7814       5.0000       2700.0       1.2260       1.7800       340.00       0.0000       29.636       1719.0       104.82      0.29002    
  2  0.27075E-01   6.7814       7.0000       2700.0       1.2260       1.7800       340.00       0.0000       29.336       1602.3       103.76      0.38233    
  3  0.34811E-01   6.7814       9.0000       2700.0       1.2260       1.7800       340.00       0.0000       28.957       1491.1       102.41      0.46345    
  4  0.42547E-01   6.7814       11.000       2700.0       1.2260       1.7800       340.00       0.0000       28.491       1384.7       100.77      0.53464    
  5  0.50282E-01   6.7814       13.000       2700.0       1.2260       1.7800       340.00       0.0000       27.927       1282.4       98.772      0.59694    
  6  0.58018E-01   6.7814       15.000       2700.0       1.2260       1.7800       340.00       0.0000       27.255       1183.3       96.396      0.65124    
  7  0.65754E-01   6.7814       17.000       2700.0       1.2260       1.7800       340.00       0.0000       26.464       1086.9       93.598      0.69821    
  8  0.73489E-01   6.7814       19.000       2700.0       1.2260       1.7800       340.00       0.0000       25.540       992.56       90.329      0.73839    
  9  0.81225E-01   6.7814       21.000       2700.0       1.2260       1.7800       340.00       0.0000       24.470       899.71       86.546      0.77212    
 10  0.88961E-01   6.7814       23.000       2700.0       1.2260       1.7800       340.00       0.0000       23.242       807.86       82.200      0.79946    
 11  0.96697E-01   6.7814       25.000       2700.0       1.2260       1.7800       340.00       0.0000       21.841       716.54       77.248      0.82017    
 12  0.10443       6.7814       27.000       2700.0       1.2260       1.7800       340.00       0.0000       20.257       625.34       71.644      0.83351    
 13  0.11217       6.7814       29.000       2700.0       1.2260       1.7800       340.00       0.0000       18.476       533.88       65.346      0.83797    
 14  0.11990       6.7814       31.000       2700.0       1.2260       1.7800       340.00       0.0000       16.488       441.78       58.314      0.83062    
 15  0.12764       6.7814       33.000       2700.0       1.2260       1.7800       340.00       0.0000       14.281       348.70       50.510      0.80574    
 16  0.13538       6.7814       35.000       2700.0       1.2260       1.7800       340.00       0.0000       11.843       254.19       41.887      0.75121    
 17  0.14311       6.7814       37.000       2700.0       1.2260       1.7800       340.00       0.0000       9.1471       157.37       32.351      0.63656    
 18  0.15085       6.7814       39.000       2700.0       1.2260       1.7800       340.00       0.0000       5.9782       51.360       21.144      0.33505    
 19  0.15858       6.7814       41.000       2700.0       1.2260       1.7800       340.00       0.0000    
 20  0.16632       6.7814       43.000       2700.0       1.2260       1.7800       340.00       0.0000      0.32660      -123.80       1.1551      -16.300    
 21  0.17405       6.7814       45.000       2700.0       1.2260       1.7800       340.00       0.0000      -3.2792      -227.78      -11.598       3.1258    
 22  0.18179       6.7814       47.000       2700.0       1.2260       1.7800       340.00       0.0000      -6.9880      -330.66      -24.715       2.2239    
 23  0.18953       6.7814       49.000       2700.0       1.2260       1.7800       340.00       0.0000      -10.807      -433.10      -38.221       1.9637    
 24  0.19726       6.7814       51.000       2700.0       1.2260       1.7800       340.00       0.0000      -14.663      -533.70      -51.858       1.8563    
