Designed blade                  
  n         V/wR         Btip            V          rpm          rho       mu*1e5       Vsound            h        P(kW)         T(N)       Q(N-m)          eff
----------------------------------------------------------------------------------------------------------------------------------------------------------------
  1  0.52216E-01  -4.0937       5.0000       1000.0       1.2260       1.7800       340.00       0.0000      0.96713E-01  -153.51      0.92354      -7.9362    
  2  0.43513E-01  -2.7217       5.0000       1200.0       1.2260       1.7800       340.00       0.0000      0.32528      -18.337       2.5885     -0.28186    
  3  0.37297E-01  -4.9043       5.0000       1400.0       1.2260       1.7800       340.00       0.0000      0.64546      -186.42       4.4027      -1.4440    
  4  0.32635E-01  -5.2868       5.0000       1600.0       1.2260       1.7800       340.00       0.0000      0.68249      -4.0360       4.0733     -0.29568E-01
  5  0.29009E-01  -2.6928       5.0000       1800.0       1.2260       1.7800       340.00       0.0000      0.90659      -14.264       4.8096     -0.78666E-01
  6  0.26108E-01  -2.9135       5.0000       2000.0       1.2260       1.7800       340.00       0.0000       1.1766     -0.56826       5.6180     -0.24148E-02
  7  0.23735E-01  -5.8167       5.0000       2200.0       1.2260       1.7800       340.00       0.0000       1.5335      0.44135       6.6563      0.14390E-02
  8  0.21757E-01  -5.7225       5.0000       2400.0       1.2260       1.7800       340.00       0.0000       1.9777      0.23393       7.8689      0.59142E-03
  9  0.20083E-01  -4.2378       5.0000       2600.0       1.2260       1.7800       340.00       0.0000       2.3359      0.32727       8.5795      0.70050E-03
 10  0.18649E-01  -2.2491       5.0000       2800.0       1.2260       1.7800       340.00       0.0000       3.9040      0.70432       13.314      0.90205E-03
 11  0.17405E-01  -4.3266       5.0000       3000.0       1.2260       1.7800       340.00       0.0000       7.6217      -9.7744       24.261     -0.64122E-02
